"","Species","X","Y"
"1","0","0","0"
"3","Spoilage_a","0.002775391528447635","4.703165267957443"
"4","Spoilage_a","0.9906826141544967","4.782633978721997"
"5","Spoilage_a","2.0136126346395296","5.8865922156875685"
"6","Spoilage_a","3.0350888786096624","8.23179805722593"
"7","Spoilage_a","4.014934249653076","8.83091257516685"
"8","Spoilage_a","5.004823894799448","9.126861825150332"
"9","Spoilage_a","6.0104407586070225","9.740223352937287"
"31","Ec_a","-0.007533205577217039","3.5774664640190306"
"41","Ec_a","0.9916077446639795","3.483658230357495"
"51","Ec_a","2.007136721073153","3.7794224542390786"
"61","Ec_a","3.013678715390209","4.493808233661534"
"71","Ec_a","4.0081940130839895","5.294878741822506"
"81","Ec_a","4.985396154100308","5.605352540804863"
"91","Ec_a","6.017445318178811","6.3051212581774925"
"32","St_a","0.009119143593470547","3.995902993458005"
"42","St_a","0.99530826670191","3.8877552368994905"
"52","St_a","2.006343752065022","3.69283023855151"
"62","St_a","3.0181722064362697","3.584497455891098"
"72","St_a","4.006343752065024","3.69283023855151"
"82","St_a","4.99729068922223","4.104235776118417"
"92","St_a","6.016520187669335","4.804097006541994"
"33","Spoilage_a","0.003125031502333897","4.911894273127752"
"43","Spoilage_a","1.0125858123569786","6.500000000000001"
"53","Spoilage_a","2.0217441708081747","7.903083700440529"
"63","Spoilage_a","3.0067591407171443","8.535242290748899"
"73","Spoilage_a","4.003316565691187","9.22907488986784"
"83","Spoilage_a","5.010660389721671","9.52202643171806"
"93","Spoilage_a","",""
"10","Spoilage_a","",""
"11","Spoilage_a","",""
"34","Ec_a","0.0015373138842131873","3.9405286343612342"
"44","Ec_a","1.0093599733868288","4.526431718061675"
"54","Ec_a","2.01902236917711","6.237885462555067"
"64","Ec_a","3.0049446062964336","7.425110132158591"
"74","Ec_a","4.011986007923467","7.533039647577093"
"84","Ec_a","5.019506245022632","7.933920704845815"
"94","Ec_a","",""
"101","Ec_a","",""
"111","Ec_a","",""
"35","St_a","0.0013356989485782123","3.817180616740088"
"45","St_a","1.0084023024425646","3.9405286343612342"
"55","St_a","2.0157209246060948","4.218061674008812"
"65","St_a","3.0005090777124757","4.711453744493391"
"75","St_a","4.008558554017681","5.43612334801762"
"85","St_a","5.016255204185527","5.944933920704845"
"95","St_a","",""
"102","St_a","",""
"112","St_a","",""
"36","Spoilage_b","0.014146553328782119","5.506607929515417"
"46","Spoilage_b","2.014146553328782","5.506607929515416"
"56","Spoilage_b","3.00006204628653","5.506607929515418"
"66","Spoilage_b","4.024694422038838","6.629955947136564"
"76","Spoilage_b","5.021778246571948","7.819383259911894"
"86","Spoilage_b","7.028479245517158","8.533039647577091"
"96","Spoilage_b","9.034932059316251","9.220264317180616"
"103","Spoilage_b","10.02295712601601","9.444933920704845"
"113","Spoilage_b","12.05199478811194","9.537444933920705"
"37","Ec_b","0.0047155177762618905","4.502202643171804"
"47","Ec_b","2.006825091518273","4.7268722466960345"
"57","Ec_b","2.991623751318489","4.607929515418499"
"67","Ec_b","4.035862753614197","4.819383259911894"
"77","Ec_b","5.026617856921266","5.334801762114539"
"87","Ec_b","7.002171620028541","5.731277533039647"
"97","Ec_b","9.036048892473783","6.3392070484581495"
"104","Ec_b","10.027548551219219","6.933920704845815"
"114","Ec_b","12.034249550164425","7.647577092511014"
"38","Spoilage_a","0","4.415835266821344"
"48","Spoilage_a","0.9976798143851497","5.208115376502847"
"58","Spoilage_a","1.9837587006960553","6.095886943682766"
"68","Spoilage_a","2.993039443155452","7.6040392322294865"
"78","Spoilage_a","3.990719257540603","8.730410251001897"
"88","Spoilage_a","4.280742459396752","9.318123813541446"
"98","Spoilage_a","4.988399071925754","9.634053997047037"
"105","Spoilage_a","",""
"39","Ec_a","0","4.097653448639528"
"49","Ec_a","1.009280742459398","4.619442100822609"
"59","Ec_a","1.9837587006960553","5.714068761864582"
"69","Ec_a","2.993039443155452","6.617675595865851"
"79","Ec_a","3.9791183294663557","7.7281744357730435"
"89","Ec_a","4.280742459396754","8.427214722632355"
"99","Ec_a","5","8.934017085003163"
"106","Ec_a","",""
"310","St_a","-0.011600928074245953","3.779508542501583"
"410","St_a","1.009280742459397","4.221714828095338"
"510","St_a","1.9953596287703008","4.998122758911619"
"610","St_a","2.993039443155453","5.806311959502213"
"710","St_a","3.990719257540602","6.630410251001898"
"810","St_a","4.292343387470998","6.62945053786121"
"910","St_a","4.988399071925754","7.215872178865217"
"107","St_a","",""
"311","Spoilage_b","-0.007305998250746626","4.501154819078345"
"411","Spoilage_b","1.0177019885932168","4.702973200865197"
"511","Spoilage_b","1.9992510697133667","4.715327931957326"
"611","Spoilage_b","3.013276491444916","6.023279686182498"
"711","Spoilage_b","4.99758561634868","8.418117828206917"
"811","Spoilage_b","6.990473397263003","9.438208014077798"
"911","Spoilage_b","7.970184194952317","9.245151592917114"
"108","Spoilage_b","8.995333588214041","9.462770832569568"
"312","Ec_b","-0.01366928704978676","3.7901162151262966"
"412","Ec_b","0.986922524994899","3.596986472119367"
"512","Ec_b","2.0119305118388624","3.7988048539062227"
"612","Ec_b","3.0142192008966227","3.7952854052865064"
"712","Ec_b","4.979155646567751","4.025406019723578"
"812","Ec_b","6.991086158406613","4.840011731495401"
"912","Ec_b","7.977725870565994","5.421197345749168"
"109","Ec_b","9.006410424271628","6.03383803204165"
"313","St_b","-0.012679442125492102","3.900722220185502"
"413","St_b","1.0106316677053933","3.9129303075851443"
"513","St_b","1.9931705937498378","4.0358910437364806"
"613","St_b","3.0161988907452155","4.016497415404919"
"713","St_b","4.986225967455578","4.815448913003628"
"813","St_b","6.977134058521308","5.614327088756096"
"913","St_b","7.979281341161318","5.595006782270779"
"1010","St_b","9.003582295916498","5.717820874729631"
"314","Spoilage_a","0.02596929917321278","5.00459381163405"
"414","Spoilage_a","1.0453872524186356","5.8031743533496964"
"514","Spoilage_a","1.8394428404904652","6.709414362793076"
"614","Spoilage_a","2.6489668842251253","7.934432438015513"
"714","Spoilage_a","3.743095756872273","9.248828184559088"
"814","Spoilage_a","",""
"914","Spoilage_a","",""
"315","Ec_a","0.019009723731906458","3.592488576951263"
"415","Ec_a","1.0418459843495618","5.529876990118878"
"515","Ec_a","1.8500666446976886","7.52930645248553"
"615","Ec_a","2.6464830781489","8.617744704082789"
"715","Ec_a","3.7528588362015953","9.127293831799605"
"815","Ec_a","",""
"915","Ec_a","",""
"316","St_a","0.025698785640156707","4.108716929720583"
"416","St_a","1.037517767820693","5.195846879503434"
"516","St_a","1.8447547425940765","7.119360407639303"
"616","St_a","2.6568363688230696","8.541759911861773"
"716","St_a","3.7461697742933437","8.611065479030284"
"816","St_a","",""
"916","St_a","",""
"317","Spoilage_b","0.006655345381012978","4.712087599265753"
"417","Spoilage_b","1.0139094755234463","4.828212578406448"
"517","Spoilage_b","2.007911811765629","5.035313576708255"
"617","Spoilage_b","2.9924906501231927","6.318219744191298"
"717","Spoilage_b","4.207768496068637","7.44844561365622"
"817","Spoilage_b","5.012535215415273","7.9746841655787115"
"917","Spoilage_b","5.804992490650122","8.83431821974419"
"318","Ec_b","0.002296977609375972","3.5908974900120736"
"418","Ec_b","2.0214580899747716","5.0200936460102294"
"518","Ec_b","4.2057071059063755","6.918152994414615"
"618","Ec_b","5.011710659350371","7.762567117882069"
"718","Ec_b","5.803166687934976","8.364630471273056"
"818","Ec_b","0.9967704887457902","3.919208229854818"
"918","Ec_b","2.9913127128876145","6.015195390338951"
"319","St_b","0.003592708568511682","3.9242242792496533"
"419","St_b","1.0103756638167116","3.91913951684941"
"519","St_b","2.0206924307716463","4.823127816006205"
"619","St_b","2.9913127128876162","6.015195390338952"
"719","St_b","4.20494144670325","6.72118716441059"
"819","St_b","5.009708166049887","7.247425716333081"
"919","St_b","5.814415988534744","7.758513050562955"
