Total_Viable_Cells,,Pseudomonas_spp,,lactic_acid_bacteria,
X,Y,X,Y,X,Y
0.037286851079954,2.2666666666666675,-0.001818870784388249,1.5428571428571427,0.04592648730579718,1.5428571428571427
0.9644562334217506,2.59047619047619,1.0240242516104585,1.6000000000000014,1.0006062902614627,1.5619047619047635
2.01121636983706,2.8952380952380965,1.953921940128836,1.6952380952380963,1.955286093217127,1.5809523809523807
2.979765062523683,3.7523809523809524,2.9729442970822286,2.3238095238095244,3.004774535809019,1.6571428571428566
4.918226600985223,7.352380952380952,4.930503978779841,6.323809523809524,4.933459643804472,2.076190476190476
6.960136415308829,8.285714285714285,6.947176960970065,7.371428571428571,6.99674118984464,3.219047619047619
8.98817733990148,8.38095238095238,8.976809397499053,7.333333333333333,8.978855627131491,3.161904761904762
13.954376657824936,8.323809523809523,13.966426676771503,7.314285714285714,14.015308829101931,3.219047619047619
20.97248957938613,8.36190476190476,20.985449033724894,7.276190476190476,21.01023114816218,3.2
