published_data.originalid,published_data.originaltraitname,published_data.originaltraitdef,published_data.standardisedtraitname,published_data.standardisedtraitdef,published_data.originaltraitvalue,published_data.originaltraitunit,published_data.originalerrorpos,published_data.originalerrorneg,published_data.originalerrorunit,published_data.standardisedtraitvalue,published_data.standardisedtraitunit,published_data.standardisederrorpos,published_data.standardisederrorneg,published_data.standardisederrorunit,published_data.replicates,published_data.habitat,published_data.labfield,published_data.arenavalue,published_data.arenaunit,published_data.arenavaluesi,published_data.arenaunitsi,published_data.ambienttemp,published_data.ambienttempmethod,published_data.ambienttempunit,published_data.ambientlight,published_data.ambientlightunit,published_data.secondstressor,published_data.secondstressordef,published_data.secondstressorvalue,published_data.secondstressorunit,published_data.timestart,published_data.timeend,published_data.totalobstimevalue,published_data.totalobstimeunit,published_data.totalobstimevaluesi,published_data.totalobstimeunitsi,published_data.totalobstimenotes,published_data.resrepvalue,published_data.resrepunit,published_data.resrepvaluesi,published_data.resrepunitsi,published_data.locationtext,published_data.locationtype,published_data.originallocationdate,published_data.locationdate,published_data.locationdateprecision,published_data.coordinatetype,published_data.latitude,published_data.longitude,published_data.interactor1,published_data.interactor1common,published_data.interactor1wholepart,published_data.interactor1wholeparttype,published_data.interactor1number,published_data.interactor1kingdom,published_data.interactor1phylum,published_data.interactor1class,published_data.interactor1order,published_data.interactor1family,published_data.interactor1genus,published_data.interactor1species,published_data.interactor1stage,published_data.interactor1temp,published_data.interactor1tempunit,published_data.interactor1tempmethod,published_data.interactor1growthtemp,published_data.interactor1growthtempunit,published_data.interactor1growthdur,published_data.interactor1growthdurunit,published_data.interactor1growthtype,published_data.interactor1acc,published_data.interactor1acctemp,published_data.interactor1acctempnotes,published_data.interactor1acctime,published_data.interactor1acctimenotes,published_data.interactor1acctimeunit,published_data.interactor1origtemp,published_data.interactor1origtempnotes,published_data.interactor1origtime,published_data.interactor1origtimenotes,published_data.interactor1origtimeunit,published_data.interactor1equilibtimevalue,published_data.interactor1equilibtimeunit,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1denvalue,published_data.interactor1denunit,published_data.interactor1dentypesi,published_data.interactor1denvaluesi,published_data.interactor1denunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2common,published_data.interactor2kingdom,published_data.interactor2phylum,published_data.interactor2class,published_data.interactor2order,published_data.interactor2family,published_data.interactor2genus,published_data.interactor2species,published_data.interactor2stage,published_data.interactor2temp,published_data.interactor2tempunit,published_data.interactor2tempmethod,published_data.interactor2growthtemp,published_data.interactor2growthtempunit,published_data.interactor2growthdur,published_data.interactor2growthdurunit,published_data.interactor2growthtype,published_data.interactor2acc,published_data.interactor2acctemp,published_data.interactor2acctempnotes,published_data.interactor2acctime,published_data.interactor2acctimenotes,published_data.interactor2acctimeunit,published_data.interactor2origtemp,published_data.interactor2origtempnotes,published_data.interactor2origtime,published_data.interactor2origtimenotes,published_data.interactor2origtimeunit,published_data.interactor2equilibtimevalue,published_data.interactor2equilibtimeunit,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2denvalue,published_data.interactor2denunit,published_data.interactor2dentypesi,published_data.interactor2denvaluesi,published_data.interactor2denunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,published_data.physicalprocess,published_data.physicalprocess_1,published_data.physicalprocess_2,published_data.figuretable,published_data.citation,published_data.doi,published_data.submittedby,published_data.contributoremail,published_data.notes
MTD2073,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,0.3743,event / (1 individual * 24 hour),0.0876,0.0876,,0.000004332176,event / (individual * second),0.000001013889,0.000001013889,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,0,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,0,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,0,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,growth rate,growth rate,life history,Fig 4a,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2073,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,1.4727,event / (1 individual * 24 hour),0.0876,0.0876,,0.00001704514,event / (individual * second),0.000001013889,0.000001013889,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,5,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,5,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,5,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,growth rate,growth rate,life history,Fig 4a,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2073,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,2.197,event / (1 individual * 24 hour),0.0717,0.0717,,0.00002542824,event / (individual * second),8.298611E-7,8.298611E-7,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,10,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,10,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,10,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,growth rate,growth rate,life history,Fig 4a,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2073,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,4.1421,event / (1 individual * 24 hour),0.1164,0.1164,,0.000047941,event / (individual * second),0.000001347222,0.000001347222,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,15,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,15,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,15,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,growth rate,growth rate,life history,Fig 4a,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2073,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,Population Growth Rate,Intrinsic rate of population growth measured as individuals per individuals per time,3.984,event / (1 individual * 24 hour),0.0826,0.0826,,0.00004611111,event / (individual * second),9.56E-7,9.56E-7,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,20,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,20,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,20,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,growth rate,growth rate,life history,Fig 4a,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2074,Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),0.308235,proportion / 1 individual,4,4,,0.308235,proportion / individual,4,4,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,0,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,0,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,0,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,digestion efficiency,physiology,internal process,Fig 4b,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2074,Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),0.423529,proportion / 1 individual,11.5293,11.5293,,0.423529,proportion / individual,11.5293,11.5293,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,5,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,5,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,5,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,digestion efficiency,physiology,internal process,Fig 4b,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2074,Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),0.437647,proportion / 1 individual,4.2353,4.2353,,0.437647,proportion / individual,4.2353,4.2353,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,10,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,10,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,10,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,digestion efficiency,physiology,internal process,Fig 4b,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2074,Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),0.536471,proportion / 1 individual,15.5293,15.5293,,0.536471,proportion / individual,15.5293,15.5293,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,15,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,15,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,15,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,digestion efficiency,physiology,internal process,Fig 4b,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
MTD2074,Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),0.421176,proportion / 1 individual,10.8235,10.8235,,0.421176,proportion / individual,10.8235,10.8235,SD,3,marine,lab,0.0006,cubic metre,0.0006,cubic metre,20,direct,celsius,,,,,,,,,,not stated,,,,,not replaced,,not replaced,missing,,,,0,,,,Paraphysomonas imperforata,protist,,,,Chromista,Ochrophyta,Chrysophyceae,Ochromonadales,Scarabaeoidea,Paraphysomonas,imperforata,,20,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,,3.72E-12,kilogram,,not stated,,,,3.72E-12,kilogram (wet body mass),Halomonas marina,proteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,marina,,20,celsius,inferred (ambient),,,,,,captive bred (at test temperature),,,,,,,,,,,,,,,not stated,,,32700000,individual per milliliter (1),individual,32700000000000,cubic meter,,,digestion efficiency,physiology,internal process,Fig 4b,"Rose, J. M., Vora, N. M., Countway, P. D., Gast, R. J. & Caron, D. A. 2009. Effects of temperature on growth rate and gross growth efficiency of an Antarctic bacterivorous protist. Isme Journal 3, 252-260.",http://dx.doi.org/10.1038/ismej.2008.96,Biotraits,null@null.invalid,
