"","Species","X","Y"
"1","0","0","0"
"3",NA,"3","Chryseobacterium balustinum"
"4",NA,"4","Chryseobacterium balustinum"
"5",NA,"5","Chryseobacterium balustinum"
"6",NA,"6","Chryseobacterium balustinum"
"7",NA,"7","Chryseobacterium balustinum"
"8",NA,"8","Chryseobacterium balustinum"
"9",NA,"9","Chryseobacterium balustinum"
"10",NA,"10","Chryseobacterium balustinum"
"11",NA,"11","Chryseobacterium balustinum"
"12",NA,"12","Chryseobacterium balustinum"
"13",NA,"13","Chryseobacterium balustinum"
"14",NA,"14","Chryseobacterium balustinum"
"15",NA,"15","Chryseobacterium balustinum"
"16",NA,"16","Chryseobacterium balustinum"
"17",NA,"17","Chryseobacterium balustinum"
"18",NA,"18","Chryseobacterium balustinum"
"19",NA,"19","Chryseobacterium balustinum"
"20",NA,"20","Chryseobacterium balustinum"
"21",NA,"21","Chryseobacterium balustinum"
"22",NA,"22","Chryseobacterium balustinum"
"23",NA,"23","Chryseobacterium balustinum"
"24",NA,"24","Chryseobacterium balustinum"
"25",NA,"25","Chryseobacterium balustinum"
"26",NA,"26","Chryseobacterium balustinum"
"27",NA,"27","Chryseobacterium balustinum"
"28",NA,"28","Chryseobacterium balustinum"
"29",NA,"29","Chryseobacterium balustinum"
"30",NA,"30","Chryseobacterium balustinum"
"31",NA,"31","Chryseobacterium balustinum"
"32",NA,"32","Chryseobacterium balustinum"
"33",NA,"33","Chryseobacterium balustinum"
"34",NA,"34","Enterobacter sp."
"35",NA,"41","Enterobacter sp."
"36",NA,"51","Enterobacter sp."
"37",NA,"61","Enterobacter sp."
"38",NA,"71","Enterobacter sp."
"39",NA,"81","Enterobacter sp."
"40",NA,"91","Enterobacter sp."
"41",NA,"101","Enterobacter sp."
"42",NA,"111","Enterobacter sp."
"43",NA,"121","Enterobacter sp."
"44",NA,"131","Enterobacter sp."
"45",NA,"141","Enterobacter sp."
"46",NA,"151","Enterobacter sp."
"47",NA,"161","Enterobacter sp."
"48",NA,"171","Enterobacter sp."
"49",NA,"181","Enterobacter sp."
"50",NA,"191","Enterobacter sp."
"51",NA,"201","Enterobacter sp."
"52",NA,"211","Enterobacter sp."
"53",NA,"221","Enterobacter sp."
"54",NA,"231","Enterobacter sp."
"55",NA,"241","Enterobacter sp."
"56",NA,"251","Enterobacter sp."
"57",NA,"261","Enterobacter sp."
"58",NA,"271","Enterobacter sp."
"59",NA,"281","Enterobacter sp."
"60",NA,"291","Enterobacter sp."
"61",NA,"301","Enterobacter sp."
"62",NA,"311","Enterobacter sp."
"63",NA,"321","Enterobacter sp."
"64",NA,"331","Enterobacter sp."
"65",NA,"35","Pantoea agglomerans-1"
"66",NA,"42","Pantoea agglomerans-1"
"67",NA,"52","Pantoea agglomerans-1"
"68",NA,"62","Pantoea agglomerans-1"
"69",NA,"72","Pantoea agglomerans-1"
"70",NA,"82","Pantoea agglomerans-1"
"71",NA,"92","Pantoea agglomerans-1"
"72",NA,"102","Pantoea agglomerans-1"
"73",NA,"112","Pantoea agglomerans-1"
"74",NA,"122","Pantoea agglomerans-1"
"75",NA,"132","Pantoea agglomerans-1"
"76",NA,"142","Pantoea agglomerans-1"
"77",NA,"152","Pantoea agglomerans-1"
"78",NA,"162","Pantoea agglomerans-1"
"79",NA,"172","Pantoea agglomerans-1"
"80",NA,"182","Pantoea agglomerans-1"
"81",NA,"192","Pantoea agglomerans-1"
"82",NA,"202","Pantoea agglomerans-1"
"83",NA,"212","Pantoea agglomerans-1"
"84",NA,"222","Pantoea agglomerans-1"
"85",NA,"232","Pantoea agglomerans-1"
"86",NA,"242","Pantoea agglomerans-1"
