"","Species","X","Y"
"1","0","0","0"
"3","277.75","424.9657204635647","9.472279721017312"
"4","277.75","402.08066897833794","9.233021741136763"
"5","277.75","377.7064353237439","9.02991548775825"
"6","277.75","359.9163447466609","9.139082626867246"
"7","277.75","352.55646235183974","8.971139267208986"
"8","277.75","337.0431592548157","8.851727820480704"
"9","277.75","330.37298772528914","8.888156420161641"
"10","277.75","312.6629926035307","8.67266998035519"
"11","277.75","305.2497132384933","8.721162339973896"
"12","277.75","289.74827613485036","8.553654066739622"
"13","277.75","282.4595897003178","8.097129748045408"
"14","277.75","266.23284375123603","7.869539994989914"
"15","277.75","257.35114770524876","7.8700146347251705"
"16","277.75","235.3337969860377","7.113676216593933"
"17","277.75","240.51478634619693","7.1133993434150335"
"18","277.75","217.62676836262474","6.8861655701609825"
"19","277.75","210.99812780993315","6.754255277070945"
"20","277.75","185.821456352921","6.803696916160165"
"21","277.75","193.24660171134","6.7071077300354665"
"22","277.75","169.65700686909176","6.323598823948212"
"23","277.75","162.23779450736347","6.396139596819913"
"24","277.75","138.65413266180602","5.988582277479662"
"25","277.75","117.98357219138532","5.773254050918297"
"26","277.75","89.93533033607136","5.462127704457657"
"27","277.75","50.11602304639604","4.863053251941408"
"28","277.75","19.036019882131143","4.840666077761809"
"29","277.75","4.230226640473603","4.853481350613735"
"31","279.05","325.0555394412436","9.441546798159454"
"41","279.05","300.60121033132486","9.56309412369639"
"51","279.05","278.4147692064288","9.492135483275542"
"61","279.05","263.58227747966305","9.61316861576595"
"71","279.05","254.00493757169036","9.433319709415006"
"81","279.05","229.58027344522523","9.434624968686963"
"91","279.05","207.5065592574525","8.906746476459187"
"101","279.05","186.15815391511862","8.438949464052634"
"111","279.05","158.94794784236686","7.730984745606286"
"121","279.05","141.41000962463906","6.8180943214629455"
"131","279.05","111.21847271480746","6.1944572626471714"
"141","279.05","87.66150935435815","5.678682083668439"
"151","279.05","5.6897438263873426","4.9375716903766795"
"161","279.05","64.86841931783721","5.066673698366448"
"171","279.05","19.157646314290616","4.347673606075388"
"181","279.05","",""
"191","279.05","",""
"201","279.05","",""
"211","279.05","",""
"221","279.05","",""
"231","279.05","",""
"241","279.05","",""
"251","279.05","",""
"261","279.05","",""
"271","279.05","",""
"281","279.05","",""
"291","279.05","",""
"32","279.35","31.6362216040186","4.767848431711207"
"42","279.35","55.9362927999789","5.271559850752173"
"52","279.35","48.534879428322824","5.271955383864887"
"62","279.35","71.31017047477158","5.956109008925863"
"72","279.35","79.46359117697472","5.907577095995886"
"82","279.35","96.33258401782533","6.531926114414545"
"92","279.35","102.96715756720769","6.639787994251586"
"102","279.35","119.78571993618735","7.468548525320712"
"112","279.35","127.15153532769924","7.612443471725975"
"122","279.35","145.52454282964388","8.140519730510107"
"132","279.35","151.43380753358733","8.188300130525928"
"142","279.35","174.17646709823723","9.004720028478385"
"152","279.35","169.01624322649545","8.920827455271798"
"162","279.35","191.86569673157808","9.304375914670324"
"172","279.35","214.80414518702125","9.327198175273907"
"182","279.35","239.95708465727054","9.373950189196673"
"192","279.35","262.84213614249745","9.613208169077222"
"202","279.35","",""
"212","279.35","",""
"222","279.35","",""
"232","279.35","",""
"242","279.35","",""
"252","279.35","",""
"262","279.35","",""
"272","279.35","",""
"282","279.35","",""
"292","279.35","",""
"33","280.35","247.2932350653289","9.638087201866917"
"43","280.35","222.86263794217305","9.663440874391867"
"53","280.35","176.21000171397682","9.76212638601395"
"63","280.35","198.44983980908935","9.616649307157832"
"73","280.35","192.5346421084552","9.592917320395006"
"83","280.35","151.91289701636194","9.246390760346488"
"93","280.35","135.70691655569763","8.934631560905508"
"103","280.35","129.119806979841","8.634382375044497"
"113","280.35","106.40681239864463","7.69772041082706"
"123","280.35","87.33222803802394","7.013369019209724"
"133","280.35","80.74511846216728","6.713119833348716"
"143","280.35","63.17158226429524","5.944519888723351"
"153","280.35","0.4375585059396201","5.226429522591533"
"163","280.35","-0.26105185439107004","5.058130183131831"
"173","280.35","",""
"183","280.35","",""
"193","280.35","",""
"203","280.35","",""
"213","280.35","",""
"223","280.35","",""
"233","280.35","",""
"243","280.35","",""
"253","280.35","",""
"263","280.35","",""
"273","280.35","",""
"283","280.35","",""
"293","280.35","",""
"34","280.75","208.0301462154073","9.784474006882276"
"44","280.75","183.65294606246786","9.593391960130262"
"54","280.75","160.72933009875143","9.51044866639419"
"64","280.75","137.05667330283333","9.46361754584888"
"74","280.75","114.19832030271473","9.116141706329849"
"84","280.75","96.66631508167754","8.179202868933512"
"94","280.75","89.2767677034029","8.131501575540232"
"104","280.75","71.62313605020634","7.687555209830316"
"114","280.75","65.11908842801961","7.050628238427359"
"124","280.75","47.52775324007544","6.354173533560985"
"134","280.75","40.1975358287078","6.065988107637744"
"144","280.75","24.107248803512363","5.28528484976334"
"154","280.75","17.48750774585679","5.117301936793809"
"164","280.75","1.9831041438685872","4.9618178701860325"
"174","280.75","",""
"184","280.75","",""
"194","280.75","",""
"204","280.75","",""
"214","280.75","",""
"224","280.75","",""
"234","280.75","",""
"244","280.75","",""
"254","280.75","",""
"264","280.75","",""
"274","280.75","",""
"284","280.75","",""
"294","280.75","",""
"35","284.65","191.06622542750537","9.544899600511556"
"45","284.65","168.1426094637889","9.461956306775482"
"55","284.65","144.4165556976545","9.63156090550714"
"65","284.65","119.99189157118943","9.632866164779095"
"75","284.65","103.73548063865414","9.525518477988584"
"85","284.65","97.84104842643742","9.41761704484027"
"95","284.65","73.46978127018869","9.202486584835261"
"105","284.65","78.66560312207474","9.142088678523871"
"115","284.65","56.6660513929358","8.313605020633645"
"125","284.65","48.714352578216676","7.544490882961751"
"135","284.65","31.315839782720502","6.066462747373"
"145","284.65","23.952990889553973","5.910543594341239"
"155","284.65","1.2162643215947924","5.070075283135787"
"165","284.65","7.913134336229547","4.925428823816367"
"175","284.65","",""
"185","284.65","",""
"195","284.65","",""
"205","284.65","",""
"215","284.65","",""
"225","284.65","",""
"235","284.65","",""
"245","284.65","",""
"255","284.65","",""
"265","284.65","",""
"275","284.65","",""
"285","284.65","",""
"295","284.65","",""
