"","Species","X","Y"
"1","0","0","0"
"3","Chryseobacterium balustinum","184.81571452504608","0.29255319148936176"
"4","Chryseobacterium balustinum","160.56374602110907","0.29255319148936176"
"5","Chryseobacterium balustinum","145.05444798123636","0.35106382978723416"
"6","Chryseobacterium balustinum","113.72801139219298","0.3005319148936171"
"7","Chryseobacterium balustinum","81.93248450326686","0.24468085106382986"
"8","Chryseobacterium balustinum","42.69014910370244","0.13563829787234027"
"9","Chryseobacterium balustinum","24.166945887083244","0.10372340425531923"
"10","Chryseobacterium balustinum","19.631429050092123","0.0851063829787233"
"11","Chryseobacterium balustinum","17.03970514324004","0.07446808510638303"
"12","Chryseobacterium balustinum","9.54012397386495","0.04255319148936154"
"13","Chryseobacterium balustinum","6.382559892779312","0.02393617021276584"
"14","Chryseobacterium balustinum","1.9437929301390398","0.007978723404255206"
"15","Chryseobacterium balustinum","",""
"16","Chryseobacterium balustinum","",""
"17","Chryseobacterium balustinum","",""
"18","Chryseobacterium balustinum","",""
"19","Chryseobacterium balustinum","",""
"31","Enterobacter sp.","277.156140056961","0.9521276595744683"
"41","Enterobacter sp.","252.90417155302399","0.9521276595744683"
"51","Enterobacter sp.","228.92779360026805","0.9521276595744683"
"61","Enterobacter sp.","204.95141564751214","0.9521276595744682"
"71","Enterobacter sp.","177.623973864969","0.9281914893617023"
"81","Enterobacter sp.","148.06248952923437","0.8882978723404256"
"91","Enterobacter sp.","130.283967163679","0.8617021276595745"
"101","Enterobacter sp.","123.49974870162504","0.8191489361702129"
"111","Enterobacter sp.","117.55696096498573","0.7845744680851064"
"121","Enterobacter sp.","108.16635952420837","0.7234042553191489"
"131","Enterobacter sp.","96.63846540459036","0.648936170212766"
"141","Enterobacter sp.","70.21695426369574","0.46808510638297873"
"151","Enterobacter sp.","44.91246439939687","0.29521276595744694"
"161","Enterobacter sp.","23.97930976713016","0.15159574468085113"
"171","Enterobacter sp.","13.196096498575969","0.08244680851063846"
"181","Enterobacter sp.","6.7842184620539285","0.042553191489361764"
"191","Enterobacter sp.","3.820154129669959","0.0292553191489362"
"32","Pantoea agglomerans-1","193.3795443122801","0.35372340425531934"
"42","Pantoea agglomerans-1","171.63720891271566","0.36968085106382986"
"52","Pantoea agglomerans-1","165.90551181102364","0.5000000000000002"
"62","Pantoea agglomerans-1","166.13126151784218","0.672872340425532"
"72","Pantoea agglomerans-1","152.95275590551182","0.7500000000000002"
"82","Pantoea agglomerans-1","127.58376612497904","0.7420212765957447"
"92","Pantoea agglomerans-1","59.91162673814705","0.35904255319148926"
"102","Pantoea agglomerans-1","45.58384989110402","0.2606382978723404"
"112","Pantoea agglomerans-1","36.28999832467747","0.202127659574468"
"122","Pantoea agglomerans-1","29.602529736974333","0.1622340425531914"
"132","Pantoea agglomerans-1","21.32894957279275","0.10904255319148937"
"142","Pantoea agglomerans-1","13.248869157312768","0.061170212765957466"
"152","Pantoea agglomerans-1","9.815714525046047","0.04255319148936154"
"162","Pantoea agglomerans-1","6.106969341598244","0.02393617021276606"
"172","Pantoea agglomerans-1","2.591723906852053","0.010638297872340496"
"182","Pantoea agglomerans-1","",""
"192","Pantoea agglomerans-1","",""
"33","Pantoea agglomerans-2","177.7412464399397","0.2420212765957448"
"43","Pantoea agglomerans-2","156.3712514659072","0.2606382978723406"
"53","Pantoea agglomerans-2","142.8204054280449","0.3351063829787234"
"63","Pantoea agglomerans-2","141.1844530072039","0.49468085106382986"
"73","Pantoea agglomerans-2","143.36865471603284","0.6835106382978725"
"83","Pantoea agglomerans-2","143.86999497403247","0.8563829787234043"
"93","Pantoea agglomerans-2","68.75104707656222","0.42021276595744683"
"103","Pantoea agglomerans-2","52.28597755067847","0.3085106382978723"
"113","Pantoea agglomerans-2","40.38574300552855","0.2313829787234042"
"123","Pantoea agglomerans-2","30.347210588038166","0.16755319148936176"
"133","Pantoea agglomerans-2","20.956609147260806","0.10638297872340408"
"143","Pantoea agglomerans-2","13.52445970849385","0.061170212765957244"
"153","Pantoea agglomerans-2","7.678421846205367","0.029255319148935977"
"163","Pantoea agglomerans-2","4.342017088289481","0.013297872340425565"
"173","Pantoea agglomerans-2","1.571452504607123","0.005319148936170137"
"183","Pantoea agglomerans-2","",""
"193","Pantoea agglomerans-2","",""
"34","Bacillus pumilus","177.46565588875868","0.24202127659574502"
"44","Bacillus pumilus","155.62657061484336","0.25531914893617036"
"54","Bacillus pumilus","136.39386831965152","0.28723404255319174"
"64","Bacillus pumilus","108.04615513486345","0.25797872340425543"
"74","Bacillus pumilus","80.34637292678839","0.2313829787234042"
"84","Bacillus pumilus","45.19978220807501","0.1515957446808509"
"94","Bacillus pumilus","22.208493885072826","0.08776595744680837"
"104","Bacillus pumilus","19.05092980398723","0.06914893617021267"
"114","Bacillus pumilus","16.652705645836818","0.06382978723404253"
"124","Bacillus pumilus","12.020438934494834","0.04255319148936154"
"134","Bacillus pumilus","9.056374602110878","0.029255319148935977"
"144","Bacillus pumilus","5.99556039537606","0.013297872340425343"
"154","Bacillus pumilus","3.872926788406744","0.007978723404255206"
"164","Bacillus pumilus","1.295861953425998","0.005319148936170137"
"174","Bacillus pumilus","",""
"184","Bacillus pumilus","",""
"194","Bacillus pumilus","",""
"35","Clavibacter michiganensis","144.14201183431953","0.503900302920911"
"45","Clavibacter michiganensis","119.84220907297822","0.5998514170315845"
"55","Clavibacter michiganensis","95.81854043392497","0.7568052569072771"
"65","Clavibacter michiganensis","71.79487179487171","0.7970482214514045"
"75","Clavibacter michiganensis","47.77120315581834","0.641004713846991"
"85","Clavibacter michiganensis","23.74753451676517","0.4053856094256014"
"95","Clavibacter michiganensis","9.664694280078805","0.18814579965365552"
"105","Clavibacter michiganensis","8.56015779092698","0.15898900799941407"
"115","Clavibacter michiganensis","7.731755424063039","0.14043706412610724"
"125","Clavibacter michiganensis","6.627218934911156","0.11658531225966429"
"135","Clavibacter michiganensis","5.5226824457593295","0.09803860018102006"
"145","Clavibacter michiganensis","4.6942800788953605","0.07418161651991473"
"155","Clavibacter michiganensis","3.589743589743506","0.04502482486567372"
"165","Clavibacter michiganensis","2.209072978303709","0.031788384369490164"
"175","Clavibacter michiganensis","0.5522682445758562","0.015904655774070298"
"185","Clavibacter michiganensis","",""
"195","Clavibacter michiganensis","",""
"36","Pseudomonas fluorescens-1","144.14201183431953","0.11928491830552646"
"46","Pseudomonas fluorescens-1","119.84220907297828","0.1409654753870222"
"56","Pseudomonas fluorescens-1","95.81854043392502","0.21834371844573852"
"66","Pseudomonas fluorescens-1","71.79487179487171","0.2532816432020677"
"76","Pseudomonas fluorescens-1","47.7712031558184","0.21925405071701753"
"86","Pseudomonas fluorescens-1","23.74753451676517","0.15074369961127765"
"96","Pseudomonas fluorescens-1","10.216962524654775","0.07672950052056349"
"106","Pseudomonas fluorescens-1","8.836291913214893","0.06879809981217844"
"116","Pseudomonas fluorescens-1","7.731755424063067","0.05555642752133272"
"126","Pseudomonas fluorescens-1","5.798816568047272","0.03967793072057524"
"136","Pseudomonas fluorescens-1","4.694280078895417","0.02908877832362844"
"146","Pseudomonas fluorescens-1","2.7613412228795937","0.01851532131066924"
"156","Pseudomonas fluorescens-1","0.5522682445759131","0.010599615986271793"
"166","Pseudomonas fluorescens-1","",""
"176","Pseudomonas fluorescens-1","",""
"186","Pseudomonas fluorescens-1","",""
"196","Pseudomonas fluorescens-1","",""
"37","Pseudomonas fluorescens-2","144.14201183431948","0.3049613108784709"
"47","Pseudomonas fluorescens-2","119.84220907297822","0.31072674859657123"
"57","Pseudomonas fluorescens-2","95.81854043392497","0.29791931526271465"
"67","Pseudomonas fluorescens-2","72.07100591715971","0.2877591700280948"
"77","Pseudomonas fluorescens-2","47.7712031558184","0.2563893292316064"
"87","Pseudomonas fluorescens-2","23.74753451676517","0.23031929642825377"
"97","Pseudomonas fluorescens-2","10.21696252465469","0.07938202041446285"
"107","Pseudomonas fluorescens-2","9.112426035502835","0.06879286801751605"
"117","Pseudomonas fluorescens-2","6.903353057199126","0.05557212290532032"
"127","Pseudomonas fluorescens-2","5.24654832347133","0.044993434097698515"
"137","Pseudomonas fluorescens-2","3.3136094674555636","0.029114937296941035"
"147","Pseudomonas fluorescens-2","1.6568047337277108","0.015883728595420088"
"157","Pseudomonas fluorescens-2","-0.2761341222880276","0.005310271582461112"
"167","Pseudomonas fluorescens-2","",""
"177","Pseudomonas fluorescens-2","",""
"187","Pseudomonas fluorescens-2","",""
"197","Pseudomonas fluorescens-2","",""
"38","Acinetobacter clacoaceticus-1","143.8658777120316","0.07154479201000341"
"48","Acinetobacter clacoaceticus-1","120.11834319526628","0.08525732582047629"
"58","Acinetobacter clacoaceticus-1","95.81854043392497","0.16529332056775448"
"68","Acinetobacter clacoaceticus-1","71.79487179487165","0.18431612596068847"
"78","Acinetobacter clacoaceticus-1","47.771203155818455","0.19803389156582374"
"88","Acinetobacter clacoaceticus-1","24.02366863905317","0.1931787861190024"
