"discrete_curve","model","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation","r","K","t_lag","N_0","r.t.value","K.t.value","t_lag.t.value","N_0.t.value"
1,"gompertz",5,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",5.84396800277643e-07,0.833749381417451,3511819.19688937,0,7.12189163044372e-28,6.93675138500631e-28,1.19372121904699e-26,0
2,"gompertz",5,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00201021189654349,4.15739391366022,4259.86198010325,0,1.54005296015554e-12,1.4693842479007e-12,2.52634407082718e-11,0
3,"gompertz",5,"Hours","OD_595","Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0155714393581577,0,738.371916736513,0.211214922573138,4.26210121240105e-08,0,2.69885117748661e-06,4.25530778655245e-08
4,"gompertz",5,"Hours","OD_595","Pantoea.agglomerans.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000997316910495504,2.36470856511681,2846.73241957895,0,8.97762003626021e-07,7.88683643594042e-07,4.37239645142234e-06,0
6,"gompertz",5,"Hours","OD_595","Clavibacter.michiganensis","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00363678468598028,2.8099744986569,1390.70421500784,0,1.5226169475287e-06,1.35115791877997e-06,1.16612287419947e-05,0
7,"gompertz",5,"Hours","OD_595","Pseudomonas.fluorescens.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.0151111501964305,0,1082.28489955982,0.576188070084975,1.06299773014296e-08,0,3.32233889531317e-07,1.05815170556332e-08
8,"gompertz",5,"Hours","OD_595","Pseudomonas.fluorescens.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.000161277840560195,4.29956782552677,34970.6521065465,0,3.89526798595614e-11,3.56156013379273e-11,2.62364860495357e-10,0
9,"gompertz",5,"Hours","OD_595","Acinetobacter.clacoaceticus.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",0.00287101326832903,1.09368846563098,1439.46770205887,0,3.94513666836718e-18,3.81578178385927e-18,1.51859911821906e-16,0
10,"gompertz",5,"Hours","OD_595","Acinetobacter.clacoaceticus.2","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",4.78407682655717e-06,5.09334908309276,1470032.87787371,0,3.00310163398345e-12,2.80531055382817e-12,2.08776691484652e-11,0
11,"gompertz",5,"Hours","OD_595","Stenotrophomonas.maltophilia.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",4.26816237483768e-06,1.84379444050828,1695535.41580585,0,1.97085704715843e-126,1.96445336834404e-126,4.7146901496739e-124,0
