"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"1",2.24,8.20911680911681,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"2",6.4,8.85754985754986,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"3",11.2,13.4814814814815,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"4",17.6,14.7749287749288,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"5",25.28,12.8655270655271,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"6",33.6,12.7521367521368,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"7",43.2,9.56410256410257,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"8",51.84,9.45128205128205,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"9",66.24,9.86153846153847,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"10",87.36,9.38632478632479,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"11",109.44,8.78461538461539,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GH","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"12",1.92,5.64444444444444,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GHN","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"13",6.72,6.29401709401709,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GHN","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"14",11.52,8.99487179487179,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GHN","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"15",17.6,9.9031339031339,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GHN","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
"16",25.28,17.7373219373219,"22","Hours","mg*C*(g^-1)","Soil Microbial Community","GHN","1","Blagodatskaya, E. V, Blagodatsky, S. A., Anderson, T.-H., & Kuzyakov, Y. (2007). Priming effects in Chernozem induced by glucose and N in relation to microbial growth strategies. Applied Soil Ecology, 37(1), 95–105. https://doi.org/https://doi.org/10.1016/j.apsoil.2007.05.002"
