Fake_Data_X,Fake_Data_Y,Hypothesis,Style,r/K
1,20,MTE Tradeoff,a1,K
2,19,MTE Tradeoff,a1,K
3,18,MTE Tradeoff,a1,K
4,17,MTE Tradeoff,a1,K
5,16,MTE Tradeoff,a1,K
6,15,MTE Tradeoff,a1,K
7,14,MTE Tradeoff,a1,K
8,13,MTE Tradeoff,a1,K
9,12,MTE Tradeoff,a1,K
10,11,MTE Tradeoff,a1,K
11,10,MTE Tradeoff,a1,K
12,9,MTE Tradeoff,a1,K
13,8,MTE Tradeoff,a1,K
14,7,MTE Tradeoff,a1,K
15,6,MTE Tradeoff,a1,K
16,5,MTE Tradeoff,a1,K
17,4,MTE Tradeoff,a1,K
18,3,MTE Tradeoff,a1,K
19,2,MTE Tradeoff,a1,K
20,1,MTE Tradeoff,a1,K
1,10,K not temperature dependent,a2,K
2,10,K not temperature dependent,a2,K
3,10,K not temperature dependent,a2,K
4,10,K not temperature dependent,a2,K
5,10,K not temperature dependent,a2,K
6,10,K not temperature dependent,a2,K
7,10,K not temperature dependent,a2,K
8,10,K not temperature dependent,a2,K
9,10,K not temperature dependent,a2,K
10,10,K not temperature dependent,a2,K
11,10,K not temperature dependent,a2,K
12,10,K not temperature dependent,a2,K
13,10,K not temperature dependent,a2,K
14,10,K not temperature dependent,a2,K
15,10,K not temperature dependent,a2,K
16,10,K not temperature dependent,a2,K
17,10,K not temperature dependent,a2,K
18,10,K not temperature dependent,a2,K
19,10,K not temperature dependent,a2,K
20,10,K not temperature dependent,a2,K
1,0,No tradeoff,a3,K
2,1,No tradeoff,a3,K
3,2,No tradeoff,a3,K
4,3,No tradeoff,a3,K
5,4,No tradeoff,a3,K
6,5,No tradeoff,a3,K
7,6,No tradeoff,a3,K
8,7,No tradeoff,a3,K
9,8,No tradeoff,a3,K
10,9,No tradeoff,a3,K
11,10,No tradeoff,a3,K
12,11,No tradeoff,a3,K
13,12,No tradeoff,a3,K
14,13,No tradeoff,a3,K
15,14,No tradeoff,a3,K
16,15,No tradeoff,a3,K
17,16,No tradeoff,a3,K
18,17,No tradeoff,a3,K
19,18,No tradeoff,a3,K
20,19,No tradeoff,a3,K
1,1,a,a2,a
2,2,a,a2,a
3,3,a,a2,a
4,4,a,a2,a
5,5,a,a2,a
6,6,a,a2,a
7,7,a,a2,a
8,8,a,a2,a
9,9,a,a2,a
10,10,a,a2,a
11,11,a,a2,a
12,12,a,a2,a
13,13,a,a2,a
14,14,a,a2,a
15,15,a,a2,a
16,16,a,a2,a
17,17,a,a2,a
18,18,a,a2,a
19,19,a,a2,a
20,20,a,a2,a
1,0.5,a,a3,a
2,1,a,a3,a
3,1.5,a,a3,a
4,2,a,a3,a
5,2.5,a,a3,a
6,3,a,a3,a
7,3.5,a,a3,a
8,4,a,a3,a
9,4.5,a,a3,a
