"","spp_order","spp_genus","spp_family","spp_class"
"1",NA,NA,NA,NA
"2","Flavobacteriales","Chryseobacterium","Flavobacteriaceae","Flavobacteriia"
"3","Enterobacterales","Enterobacter","Enterobacteriaceae","Gammaproteobacteria"
"4","Enterobacterales","Pantoea","Erwiniaceae","Gammaproteobacteria"
"5","Bacillales","Bacillus","Bacillaceae","Bacilli"
"6","Micrococcales","Clavibacter","Microbacteriaceae","Actinobacteria"
"7","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Gammaproteobacteria"
"8","Xanthomonadales","Stenotrophomonas","Xanthomonadaceae","Gammaproteobacteria"
"9","Enterobacterales","Klebsiella","Enterobacteriaceae","Gammaproteobacteria"
"10","Enterobacterales","Dickeya","Pectobacteriaceae","Gammaproteobacteria"
"11","Enterobacterales","Pectobacterium","Pectobacteriaceae","Gammaproteobacteria"
"12","Enterobacterales","Dickeya","Pectobacteriaceae","Gammaproteobacteria"
"13","Enterobacterales","Klebsiella","Enterobacteriaceae","Gammaproteobacteria"
"14","Bacillales","Bacillus","Bacillaceae","Bacilli"
"15","Micrococcales","Clavibacter","Microbacteriaceae","Actinobacteria"
"16","Enterobacterales","Escherichia","Enterobacteriaceae","Gammaproteobacteria"
"17","Enterobacterales","Salmonella","Enterobacteriaceae","Gammaproteobacteria"
"18","Micrococcales","Cryobacterium","Microbacteriaceae","Actinobacteria"
"19","Flavobacteriales","Flavobacterium","Flavobacteriaceae","Flavobacteriia"
"20","Pseudomonadales","Psychrobacter","Moraxellaceae","Gammaproteobacteria"
"21","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Gammaproteobacteria"
"22","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Gammaproteobacteria"
"23","Bacillales","Brochothrix","Listeriaceae","Bacilli"
"24","Enterobacterales","Serratia","Yersiniaceae","Gammaproteobacteria"
"25","Micrococcales","Arthrobacter","Micrococcaceae","Actinobacteria"
"26","Micrococcales","Paenarthrobacter","Micrococcaceae","Actinobacteria"
"27","Micrococcales","Arthrobacter","Micrococcaceae","Actinobacteria"
"28","Micrococcales","Arthrobacter","Micrococcaceae","Actinobacteria"
"29","Propionibacteriales","Pimelobacter","Nocardioidaceae","Actinobacteria"
"30","Lactobacillales","Lactobacillus","Lactobacillaceae","Bacilli"
"31","Lactobacillales","Weissella","Leuconostocaceae","Bacilli"
"32","Lactobacillales","Lactobacillus","Lactobacillaceae","Bacilli"
"33","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Gammaproteobacteria"
"34","Flavobacteriales","Flavobacterium","Flavobacteriaceae","Flavobacteriia"
"35","Pseudomonadales","Pseudomonas","Pseudomonadaceae","Gammaproteobacteria"
"36","Enterobacterales","Rahnella","Yersiniaceae","Gammaproteobacteria"
"37","Enterobacterales","Raoultella","Enterobacteriaceae","Gammaproteobacteria"
"38","Sphingobacteriales","Sphingobacterium","Sphingobacteriaceae","Sphingobacteriia"
"39","Rhizobiales","Rhizobium","Rhizobiaceae","Alphaproteobacteria"
"40","Micrococcales","Arthrobacter","Micrococcaceae","Actinobacteria"
"41","Enterobacterales","Citrobacter","Enterobacteriaceae","Gammaproteobacteria"
"42","Micrococcales","Curtobacterium","Microbacteriaceae","Actinobacteria"
"43","Micrococcales","Microbacterium","Microbacteriaceae","Actinobacteria"
"44","Rhodospirillales","Roseomonas","Acetobacteraceae","Alphaproteobacteria"
"45","Sphingomonadales","Novosphingobium","Sphingomonadaceae","Alphaproteobacteria"
"46","Enterobacterales","Serratia","Yersiniaceae","Gammaproteobacteria"
"47","Flavobacteriales","Chryseobacterium","Flavobacteriaceae","Flavobacteriia"
"48","Bacillales","Paenibacillus","Paenibacillaceae","Bacilli"
"49","Bacillales","Bacillus","Bacillaceae","Bacilli"
