"","x"
"1","Chryseobacterium balustinum"
"2","Enterobacter sp "
"3","Pantoea agglomerans "
"4","Pantoea agglomerans "
"5","Bacillus pumilus"
"6","Clavibacter michiganensis"
"7","Pseudomonas fluorescens "
"8","Pseudomonas fluorescens "
"9","Acinetobacter clacoaceticus "
"10","Acinetobacter clacoaceticus "
"11","Stenotrophomonas maltophilia "
"12","Stenotrophomonas maltophilia "
"13","Klebsiella pneumonia"
"14","Dickeya zeae"
"15","Pectobacterium carotovorum subspCarotovorumPcc"
"16","Pantoea agglomerans "
"17","Dickeya zeae "
"18","Acinetobacter clacoaceticus "
"19","Stenotrophomonas maltophilia "
"20","Klebsiella pneumonia "
"21","Bacillus pumilus "
"22","Clavibacter michiganensis "
"23","Tetraselmis tetrahele"
"24","Soil Microbial Community"
"25","Staphylococcus spp "
"26","Pseudomonas spp "
"27","Aerobic Psychotropic "
"28","Aerobic Mesophilic "
"29","Spoilage"
"30","Escherichia coli"
"31","Salmonella Typhimurium"
"32","TotalViableCells"
"33","Pseudomonasspp"
"34","lacticacidbacteria"
"35","Curtobacteriumpsychrophilum"
"36","Cytophagaantarctica"
"37","Cytophagaxantha"
"38","Spirillumpleomorphum"
"39","Micrococcuscryophilus"
"40","Pseudomonasflourescens"
"41","totalviablecounts "
"42","pseudomonassp "
"43","yeastsandmoulds "
"44","enterobacteriaceae "
"45","lacticacidbacteria "
"46","totalviablecounts "
"47","pseudomonassp "
"48","yeastsandmoulds "
"49","enterobacteriaceae "
"50","lacticacidbacteria "
"51","totalviablecounts"
"52","pseudomonassp"
"53","yeastsandmoulds"
"54","enterobacteriaceae"
"55","totalviablecounts "
"56","pseudomonassp "
"57","yeastsandmoulds "
"58","enterobacteriaceae "
"59","lacticacidbacteria "
"60","Aquatic Background Bacteria"
"61","platecounttotal"
"62","pseudonomads"
"63","brochothrixthermosphacta"
"64","aerobic bacteria"
"65","Serratia marcescens"
"66","Arthrobacter sp  "
"67","Arthrobacter sp  "
"68","Arthrobacter sp  "
"69","Arthrobacter aurescens"
"70","Arthrobacter citreus"
"71","Arthrobacter globiformis"
"72","Arthrobacter simplex"
"73","anoxygenic phototrophic bacteria"
"74","Lactobacillus plantarum"
"75","Weissella viridescens"
"76","Lactobacillus sakei"
"77","scillatoria agardhii Strain "
"78","scillatoria agardhii StrainCYA "
"79","Pseudomonas sp "
"80","P  flourescens"
"81","Lactobaciulus plantarum"
"82","Flavobacterium"
"83","Pseudomonas"
"84","Rahnella"
"85","Raoultella"
"86","Sphingobacterium"
"87","Rhizobium"
"88","Arthrobacter"
"89","Citrobacter"
"90","Pseudomonas"
"91","Curtobacterium"
"92","Microbacterium"
"93","IsoMix"
"94","Rhizobium"
"95","Roseomonas"
"96","Novosphingobium"
"97","Novosphingobium"
"98","Raoultella"
"99","Serratia"
"100","Chryseobacterium"
"101","Chryseobacterium"
"102","Paenibacillus"
"103","Paenibacillus"
"104","Bacillus"
"105","no inoculum"
