"discrete_curve","Estimate","Std. Error","t value","Pr(>|t|)","parameter","model","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation","r","K"
1,5.84396800277643e-07,8.20564016699637e+20,7.12189163044372e-28,1,"r_max","gompertz",5,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
1,0.833749381417451,1.20193060864137e+27,6.93675138500631e-28,1,"N_max","gompertz",5,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
1,0,15597.4083086084,0,1,"N_0","gompertz",5,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
1,3511819.19688937,2.94190899923271e+32,1.19372121904699e-26,1,"t_lag","gompertz",5,"Hours","OD_595","Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
2,0.00201021189654349,1305287511.89211,1.54005296015554e-12,0.999999999998783,"r_max","gompertz",5,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
2,4.15739391366022,2829344277781.58,1.4693842479007e-12,0.999999999998839,"N_max","gompertz",5,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
2,0,0.34307381839135,0,1,"N_0","gompertz",5,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
2,4259.86198010325,168617649088015,2.52634407082718e-11,0.999999999980043,"t_lag","gompertz",5,"Hours","OD_595","Enterobacter.sp.","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
3,0.0155714393581577,365346.541111011,4.26210121240105e-08,0.999999966331635,"r_max","gompertz",5,"Hours","OD_595","Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
3,0,0.357303435872879,0,1,"N_max","gompertz",5,"Hours","OD_595","Pantoea.agglomerans.1","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",NA,NA
