"","x"
"1","Chryseobacterium.balustinum"
"2","Enterobacter.sp."
"3","Pantoea.agglomerans.1"
"4","Pantoea.agglomerans.2"
"5","Bacillus.pumilus"
"6","Clavibacter.michiganensis"
"7","Pseudomonas.fluorescens.1"
"8","Pseudomonas.fluorescens.2"
"9","Acinetobacter.clacoaceticus.1"
"10","Acinetobacter.clacoaceticus.2"
"11","Stenotrophomonas.maltophilia.1"
"12","Stenotrophomonas.maltophilia.2"
"13","Klebsiella.pneumonia"
"14","Dickeya.zeae"
"15","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2"
"16","Pantoea.agglomerans..RDA.R."
"17","Dickeya.zeae..RDA.R."
"18","Acinetobacter.clacoaceticus..RDA.R."
"19","Stenotrophomonas.maltophilia..RDA.R."
"20","Klebsiella.pneumonia..RDA.R."
"21","Bacillus.pumilus..RDA.R."
"22","Clavibacter.michiganensis..RDA.R."
"23","Tetraselmis tetrahele"
"24","Soil Microbial Community"
"25","Staphylococcus spp."
"26","Pseudomonas spp."
"27","Aerobic Psychotropic."
"28","Aerobic Mesophilic."
"29","Spoilage"
"30","Escherichia coli"
"31","Salmonella Typhimurium"
"32","Total_Viable_Cells"
"33","Pseudomonas_spp"
"34","lactic_acid_bacteria"
"35","Curtobacterium_psychrophilum"
"36","Cytophaga_antarctica"
"37","Cytophaga_xantha"
"38","Spirillum_pleomorphum"
"39","Micrococcus_cryophilus"
"40","Pseudomonas_flourescens"
"41","total_viable_counts_15._O2"
"42","pseudomonas_sp_15._O2"
"43","yeasts_and_moulds_15._O2"
"44","enterobacteriaceae_15._O2"
"45","lactic_acid_bacteria_15._O2"
"46","total_viable_counts_20._O2"
"47","pseudomonas_sp_20._O2"
"48","yeasts_and_moulds_20._O2"
"49","enterobacteriaceae_20._O2"
"50","lactic_acid_bacteria_20._O2"
"51","total_viable_counts"
"52","pseudomonas_sp"
"53","yeasts_and_moulds"
"54","enterobacteriaceae"
"55","total_viable_counts_5._O2"
"56","pseudomonas_sp_5._O2"
"57","yeasts_and_moulds_5._O2"
"58","enterobacteriaceae_5._O2"
"59","lactic_acid_bacteria_5._O2"
"60","Aquatic Background Bacteria"
"61","plate_count_total"
"62","pseudonomads"
"63","brochothrix_thermosphacta"
"64","aerobic bacteria"
"65","Serratia marcescens"
"66","Arthrobacter sp. 77"
"67","Arthrobacter sp. 88"
"68","Arthrobacter sp. 62"
"69","Arthrobacter aurescens"
"70","Arthrobacter citreus"
"71","Arthrobacter globiformis"
"72","Arthrobacter simplex"
"73","anoxygenic phototrophic bacteria"
"74","Lactobacillus plantarum"
"75","Weissella viridescens"
"76","Lactobacillus sakei"
"77","Oscillatoria agardhii Strain 97"
"78","Oscillatoria agardhii StrainCYA 128"
"79","Pseudomonas sp."
"80","P. flourescens"
"81","Lactobaciulus plantarum"
"82","Flavobacterium"
"83","Pseudomonas(1)"
"84","Rahnella"
"85","Raoultella(1)"
"86","Sphingobacterium"
"87","Rhizobium(1)"
"88","Arthrobacter"
"89","Citrobacter"
"90","Pseudomonas(2)"
"91","Curtobacterium"
"92","Microbacterium"
"93","IsoMix"
"94","Rhizobium(2)"
"95","Roseomonas"
"96","Novosphingobium(1)"
"97","Novosphingobium(2)"
"98","Raoultella(2)"
"99","Serratia"
"100","Chryseobacterium(1)"
"101","Chryseobacterium(2)"
"102","Paenibacillus(1)"
"103","Paenibacillus(2)"
"104","Bacillus"
"105","no inoculum"
