"","Species","X","Y"
"1","0","0","0"
"3","Spoilage_a","0.002775391528447635","4.703165267957443"
"4","Spoilage_a","0.9906826141544967","4.782633978721997"
"5","Spoilage_a","2.0136126346395296","5.8865922156875685"
"6","Spoilage_a","3.0350888786096624","8.23179805722593"
"7","Spoilage_a","4.014934249653076","8.83091257516685"
"8","Spoilage_a","5.004823894799448","9.126861825150332"
"9","Spoilage_a","6.0104407586070225","9.740223352937287"
"31","Ec_a","-0.007533205577217039","3.5774664640190306"
"41","Ec_a","0.9916077446639795","3.483658230357495"
"51","Ec_a","2.007136721073153","3.7794224542390786"
"61","Ec_a","3.013678715390209","4.493808233661534"
"71","Ec_a","4.0081940130839895","5.294878741822506"
"81","Ec_a","4.985396154100308","5.605352540804863"
"91","Ec_a","6.017445318178811","6.3051212581774925"
"32","St_a","0.009119143593470547","3.995902993458005"
"42","St_a","0.99530826670191","3.8877552368994905"
"52","St_a","2.006343752065022","3.69283023855151"
"62","St_a","3.0181722064362697","3.584497455891098"
"72","St_a","4.006343752065024","3.69283023855151"
"82","St_a","4.99729068922223","4.104235776118417"
"92","St_a","6.016520187669335","4.804097006541994"
