"","Species","X","Y"
"1","0","0","0"
"3","4_C","339.68636911942104","10.824175824175846"
"4","4_C","266.3449939686369","9.890109890109908"
"5","4_C","218.57659831121828","9.615384615384631"
"6","4_C","166.46562123039803","7.967032967032978"
"7","4_C","94.0892641737033","5.109890109890124"
"8","4_C","70.92882991556093","4.395604395604405"
"9","4_C","46.80337756332932","4.230769230769237"
"10","4_C","31.36308805790111","4.780219780219788"
"11","4_C","0.4825090470446298","3.7912087912087955"
"12","4_C","",""
"13","4_C","",""
"14","4_C","",""
"15","4_C","",""
"16","4_C","",""
"17","4_C","",""
"18","4_C","",""
"19","4_C","",""
"20","4_C","",""
"21","4_C","",""
"31","8_C","383.5946924004825","19.065934065934087"
"41","8_C","360.9167671893848","19.12087912087914"
"51","8_C","334.3787696019301","19.065934065934087"
"61","8_C","313.14837153196623","19.01098901098903"
"71","8_C","286.6103739445115","18.84615384615386"
"81","8_C","270.20506634499395","18.791208791208806"
"91","8_C","220.50663449939697","18.29670329670331"
"101","8_C","240.77201447527148","18.516483516483532"
"111","8_C","247.04463208685166","18.626373626373642"
"121","8_C","196.86369119420993","18.131868131868146"
"131","8_C","174.18576598311222","17.41758241758243"
"141","8_C","144.27020506634506","14.835164835164845"
"151","8_C","99.39686369119426","11.75824175824177"
"161","8_C","75.27141133896262","9.725274725274733"
"171","8_C","55.488540410132714","8.186813186813193"
"181","8_C","45.83835946924006","7.527472527472536"
"191","8_C","30.88057901085648","5.824175824175832"
"201","8_C","23.642943305187003","5.439560439560449"
"211","8_C","6.27261761158023","4.065934065934073"
"32","12_C","145.23522316043437","20.659340659340668"
"42","12_C","128.8299155609168","19.285714285714295"
"52","12_C","122.07478890229194","19.23076923076924"
"62","12_C","101.32689987937277","20.109890109890117"
"72","12_C","96.01930036188179","18.68131868131869"
"82","12_C","83.95657418576602","18.956043956043963"
"92","12_C","59.34861278648978","15.164835164835173"
"102","12_C","51.14595898673102","13.406593406593414"
"112","12_C","32.810615199035","10.329670329670336"
"122","12_C","24.125452352231633","8.461538461538467"
"132","12_C","8.685162846803394","5.384615384615394"
"142","12_C","3.3775633293124514","4.450549450549456"
"152","12_C","0","3.8461538461538503"
"162","12_C","",""
"172","12_C","",""
"182","12_C","",""
"192","12_C","",""
"202","12_C","",""
"212","12_C","",""
"33","16_C","102.29191797346203","21.26373626373627"
"43","16_C","96.50180940892645","20.879120879120883"
"53","16_C","80.57901085645358","20.714285714285722"
"63","16_C","74.30639324487336","20.989010989010996"
"73","16_C","67.06875753920389","20.824175824175832"
"83","16_C","53.558504221954166","20.109890109890117"
"93","16_C","50.18094089264176","19.3956043956044"
"103","16_C","47.76839565741861","18.956043956043963"
"113","16_C","28.95054282267793","15.000000000000005"
"123","16_C","24.125452352231633","13.131868131868139"
"133","16_C","19.782870928829908","11.483516483516492"
"143","16_C","6.75512665862486","6.7032967032967115"
"153","16_C","2.895054282267793","5.219780219780226"
"163","16_C","0","4.505494505494511"
"173","16_C","",""
"183","16_C","",""
"193","16_C","",""
"203","16_C","",""
"213","16_C","",""
"34","20_C","57.90108564535589","21.318681318681325"
"44","20_C","52.59348612786491","21.318681318681325"
"54","20_C","48.73341375150787","21.208791208791215"
"64","20_C","44.8733413751508","20.989010989010993"
"74","20_C","38.600723763570585","19.010989010989015"
"84","20_C","34.25814234016889","19.340659340659347"
"94","20_C","29.91556091676719","19.61538461538462"
"104","20_C","25.090470446320893","17.307692307692314"
"114","20_C","15.92279855247287","13.571428571428577"
"124","20_C","12.062726176115802","10.659340659340664"
"134","20_C","7.720144752714134","8.57142857142858"
"144","20_C","4.342581423401711","6.978021978021985"
"154","20_C","-0.4825090470446298","4.890109890109894"
"164","20_C","",""
"174","20_C","",""
"184","20_C","",""
"194","20_C","",""
"204","20_C","",""
"214","20_C","",""
"35","30_C","33.29312424607963","21.043956043956047"
"45","30_C","29.43305186972256","21.20879120879121"
"55","30_C","25.572979493365523","21.26373626373627"
"65","30_C","22.677925211097744","21.48351648351649"
"75","30_C","18.81785283474065","20.329670329670336"
"85","30_C","12.062726176115802","17.087912087912095"
"95","30_C","7.720144752714134","13.07692307692308"
"105","30_C","5.7901085645356005","10.659340659340668"
"115","30_C","3.3775633293124514","7.8021978021978065"
"125","30_C","1.4475271411338895","5.769230769230774"
"135","30_C","0","3.901098901098905"
"145","30_C","",""
"155","30_C","",""
"165","30_C","",""
"175","30_C","",""
"185","30_C","",""
"195","30_C","",""
"205","30_C","",""
"215","30_C","",""
