"","Species","X","Y"
"1","0","0","0"
"3","15","0","0"
"4","15","16.993964939170397","2.0069930069930066"
"5","15","24.835712232972476","3.4125874125874116"
"6","15","43.24360570935908","5.209790209790208"
"7","15","50.74049238432794","5.300699300699299"
"8","15","75.0838202892997","6.0139860139860115"
"9","15","90.97423124820384","6.013986013986012"
"10","15","67.80342944726505","5.370629370629368"
"31","12","-0.2586454641249176","0.01398601398601329"
"41","12","18.20097710508668","0.6083916083916057"
"51","12","18.147332119934852","1.5594405594405583"
"61","12","24.95066577258357","2.5174825174825166"
"71","12","43.14589520068967","4.37062937062937"
"81","12","51.3554938212472","5.11188811188811"
"91","12","76.0762525146086","5.419580419580417"
"101","12","93.29437685602065","5.881118881118879"
"32","8","-0.2586454641249176","0.013986013986014179"
"42","8","41.73005077114663","2.3286713286713274"
"52","8","73.06830156145219","5.174825174825173"
"62","8","144.3567391512597","6.475524475524473"
"72","8","190.72708113803992","6.5384615384615365"
"82","8","",""
"92","8","",""
"102","8","",""
"33","6","-0.27397260273972535","0"
"43","6","17.070600632244478","0.07692307692307754"
"53","6","41.48673244563654","1.3566433566433567"
"63","6","71.242456173963","3.2587412587412574"
"73","6","145.4507136698917","6.2237762237762215"
"83","6","190.70792221477146","6.020979020979019"
"93","6","",""
"103","6","",""
"34","4","0","0"
"44","4","41.60551776990133","0.9650349650349641"
"54","4","182.60944534917132","5.881118881118879"
"64","4","237.9557428872496","6.384615384615382"
"74","4","262.17070600632235","6.230769230769228"
"84","4","",""
"94","4","",""
"104","4","",""
"35","2","-0.25098189481750666","0.020979020979020824"
"45","2","42.97729667592679","1.2167832167832158"
"55","2","43.67659737522751","1.104895104895105"
"65","2","191.24820385094355","4.013986013986013"
"75","2","236.77172142925562","4.804195804195802"
"85","2","250.91100680141776","4.706293706293705"
"95","2","378.6282210939744","5.748251748251747"
"105","2","",""
