Spoilage_a,,Ec_a,,St_a,,Spoilage_b,,Ec_b,
X,Y,X,Y,X,Y,X,Y,X,Y
0.003125031502333897,4.911894273127752,0.0015373138842131873,3.9405286343612342,0.0013356989485782123,3.817180616740088,0.014146553328782119,5.506607929515417,0.0047155177762618905,4.502202643171804
1.0125858123569786,6.500000000000001,1.0093599733868288,4.526431718061675,1.0084023024425646,3.9405286343612342,2.014146553328782,5.506607929515416,2.006825091518273,4.7268722466960345
2.0217441708081747,7.903083700440529,2.01902236917711,6.237885462555067,2.0157209246060948,4.218061674008812,3.00006204628653,5.506607929515418,2.991623751318489,4.607929515418499
3.0067591407171443,8.535242290748899,3.0049446062964336,7.425110132158591,3.0005090777124757,4.711453744493391,4.024694422038838,6.629955947136564,4.035862753614197,4.819383259911894
4.003316565691187,9.22907488986784,4.011986007923467,7.533039647577093,4.008558554017681,5.43612334801762,5.021778246571948,7.819383259911894,5.026617856921266,5.334801762114539
5.010660389721671,9.52202643171806,5.019506245022632,7.933920704845815,5.016255204185527,5.944933920704845,7.028479245517158,8.533039647577091,7.002171620028541,5.731277533039647
,,,,,,9.034932059316251,9.220264317180616,9.036048892473783,6.3392070484581495
,,,,,,10.02295712601601,9.444933920704845,10.027548551219219,6.933920704845815
,,,,,,12.05199478811194,9.537444933920705,12.034249550164425,7.647577092511014
