"ID","bacterial_genus","replicate","minute","trait_name","trait_value","Temperature"
"Sch_AE103_02","Flavobacterium",1,0,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",1,30,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",1,60,"Absorbance (600nm) continuous",0.103,22
"Sch_AE103_02","Flavobacterium",1,90,"Absorbance (600nm) continuous",0.104,22
"Sch_AE103_02","Flavobacterium",1,120,"Absorbance (600nm) continuous",0.104,22
"Sch_AE103_02","Flavobacterium",1,150,"Absorbance (600nm) continuous",0.105,22
"Sch_AE103_02","Flavobacterium",1,180,"Absorbance (600nm) continuous",0.105,22
"Sch_AE103_02","Flavobacterium",1,210,"Absorbance (600nm) continuous",0.106,22
"Sch_AE103_02","Flavobacterium",1,240,"Absorbance (600nm) continuous",0.107,22
"Sch_AE103_02","Flavobacterium",1,270,"Absorbance (600nm) continuous",0.107,22
"Sch_AE103_02","Flavobacterium",1,300,"Absorbance (600nm) continuous",0.109,22
"Sch_AE103_02","Flavobacterium",1,330,"Absorbance (600nm) continuous",0.111,22
"Sch_AE103_02","Flavobacterium",1,360,"Absorbance (600nm) continuous",0.114,22
"Sch_AE103_02","Flavobacterium",1,390,"Absorbance (600nm) continuous",0.117,22
"Sch_AE103_02","Flavobacterium",1,420,"Absorbance (600nm) continuous",0.122,22
"Sch_AE103_02","Flavobacterium",1,450,"Absorbance (600nm) continuous",0.129,22
"Sch_AE103_02","Flavobacterium",1,480,"Absorbance (600nm) continuous",0.139,22
"Sch_AE103_02","Flavobacterium",1,510,"Absorbance (600nm) continuous",0.152,22
"Sch_AE103_02","Flavobacterium",1,540,"Absorbance (600nm) continuous",0.16,22
"Sch_AE103_02","Flavobacterium",1,570,"Absorbance (600nm) continuous",0.162,22
"Sch_AE103_02","Flavobacterium",1,600,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",1,630,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",1,660,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",1,690,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",1,720,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",1,750,"Absorbance (600nm) continuous",0.172,22
"Sch_AE103_02","Flavobacterium",1,780,"Absorbance (600nm) continuous",0.171,22
"Sch_AE103_02","Flavobacterium",1,810,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",1,840,"Absorbance (600nm) continuous",0.169,22
"Sch_AE103_02","Flavobacterium",1,870,"Absorbance (600nm) continuous",0.17,22
"Sch_AE103_02","Flavobacterium",1,900,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",1,930,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",1,960,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",1,990,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",1,1020,"Absorbance (600nm) continuous",0.167,22
"Sch_AE103_02","Flavobacterium",1,1050,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",1,1080,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",1,1110,"Absorbance (600nm) continuous",0.168,22
"Sch_AE103_02","Flavobacterium",2,0,"Absorbance (600nm) continuous",0.097,22
"Sch_AE103_02","Flavobacterium",2,30,"Absorbance (600nm) continuous",0.099,22
"Sch_AE103_02","Flavobacterium",2,60,"Absorbance (600nm) continuous",0.099,22
"Sch_AE103_02","Flavobacterium",2,90,"Absorbance (600nm) continuous",0.1,22
"Sch_AE103_02","Flavobacterium",2,120,"Absorbance (600nm) continuous",0.101,22
"Sch_AE103_02","Flavobacterium",2,150,"Absorbance (600nm) continuous",0.101,22
"Sch_AE103_02","Flavobacterium",2,180,"Absorbance (600nm) continuous",0.102,22
"Sch_AE103_02","Flavobacterium",2,210,"Absorbance (600nm) continuous",0.103,22
"Sch_AE103_02","Flavobacterium",2,240,"Absorbance (600nm) continuous",0.105,22
"Sch_AE103_02","Flavobacterium",2,270,"Absorbance (600nm) continuous",0.106,22
"Sch_AE103_02","Flavobacterium",2,300,"Absorbance (600nm) continuous",0.108,22
"Sch_AE103_02","Flavobacterium",2,330,"Absorbance (600nm) continuous",0.114,22
"Sch_AE103_02","Flavobacterium",2,360,"Absorbance (600nm) continuous",0.116,22
"Sch_AE103_02","Flavobacterium",2,390,"Absorbance (600nm) continuous",0.121,22
"Sch_AE103_02","Flavobacterium",2,420,"Absorbance (600nm) continuous",0.126,22
"Sch_AE103_02","Flavobacterium",2,450,"Absorbance (600nm) continuous",0.134,22
"Sch_AE103_02","Flavobacterium",2,480,"Absorbance (600nm) continuous",0.14,22
"Sch_AE103_02","Flavobacterium",2,510,"Absorbance (600nm) continuous",0.145,22
