"","Species","X","Y"
"1","0","0","0"
"3","5_1","0.5606530288785265","1193.4087433046589"
"4","5_1","3.445541966574723","411.9178608605871"
"5","5_1","6.518575834990237","145.71279931091703"
"6","5_1","10.281474449376574","1267.4657905026834"
"7","5_1","12.476498641101934","2977.449682111219"
"8","5_1","17.493696793617048","8378.943863329623"
"9","5_1","24.517774207138217","14618.861671985189"
"10","5_1","31.35370668994007","16899.507374735298"
"11","5_1","34.55217051216846","14891.960933123879"
"12","5_1","39.569368664683566","19699.664375547276"
"13","5_1","42.3288276485669","19353.175247815954"
"31","5_2","0.5627193117656617","1265.0145767867361"
"41","5_2","3.447608249461865","156.60519770272367"
"51","5_2","6.520642117877358","631.6377887387353"
"61","5_2","10.346255709170151","631.6377887387353"
"71","5_2","12.541279900895518","3679.763581219777"
"81","5_2","17.495763076504204","8786.363934856836"
"91","5_2","24.51984049002536","14922.201569071902"
"101","5_2","31.29305799592079","14922.201569071909"
"111","5_2","34.61695177196205","15793.094652637916"
"121","5_2","39.57143494757075","18445.359952588948"
"131","5_2","42.33089393145403","22285.20673013"
"32","5_3","0.5020706177463694","1706.7767632941395"
"42","5_3","3.3869595554425587","1009.4038862852176"
"52","5_3","6.459993423858094","1020.2244280754094"
"62","5_3","10.348321992057294","1544.9102912081507"
"72","5_3","12.48063120687624","5679.682219363669"
"82","5_3","17.435114382484926","7544.569472796335"
"92","5_3","24.45919179600608","11853.79503389581"
"102","5_3","34.619018054849164","15820.29649584461"
"112","5_3","31.29512427880792","20525.465555511848"
"122","5_3","39.63621620736427","20633.450146030333"
"132","5_3","42.33296021434117","21625.627579976222"
"33","5_4","0.5668518775399605","1185.842478280625"
"43","5_4","3.4517408152361497","117.01914844960993"
"53","5_4","6.462059706745293","4154.796172255657"
"63","5_4","10.350388274944464","1581.7029708106202"
"73","5_4","12.482697489763382","4115.210123002653"
"83","5_4","17.499895642278545","6965.405669218679"
"93","5_4","24.523973055799672","17574.46686902282"
"103","5_4","31.23447558478867","19672.52747943183"
"113","5_4","34.558369360829886","18247.42970632381"
"123","5_4","42.209596543415444","20978.867104780842"
"133","5_4","39.57556751334502","26877.18844347792"
"34","5_5","40.52954323461904","20215.07869197741"
"44","5_5","38.007500058438836","15829.970640412703"
"54","5_5","32.91804361719494","16679.325392602463"
"64","5_5","29.674971871598927","15067.797627646443"
"74","5_5","22.912159799175157","14141.714048668124"
"84","5_5","15.915380405645436","6130.55732475414"
"94","5_5","8.793166060496219","3701.4783503062063"
"104","5_5","11.0029562720064","2387.302589455394"
"114","5_5","1.9436170534418977","-668.2839359007776"
"124","5_5","-0.9542861728038474","489.9877450115746"
"134","5_5","",""
"35","8_1","0.3378318595501142","1237.271322266417"
"45","8_1","3.17595030599405","379.57358845141425"
"55","8_1","7.065223732602405","4338.178513751467"
"65","8_1","10.218688673095663","6383.457725156477"
"75","8_1","12.320998633424502","8428.736936561509"
"85","8_1","17.36654253821372","12717.225605636559"
"95","8_1","24.304165407298896","20106.62146619665"
"105","8_1","31.13667277836762","18589.156244831647"
"115","8_1","34.39525321687733","19446.85397864665"
"125","8_1","39.54591261968299","19116.97023487166"
"135","8_1","42.278915568110484","19908.691219931672"
"36","8_2","1.7255341002001074","1171.2945735114045"
"46","8_2","4.562534296665163","2490.829548611422"
"56","8_2","8.461092967480312","5261.852996321453"
"66","8_2","11.427822726104068","8824.597429091504"
"76","8_2","13.701425966908417","15818.132797121594"
"86","8_2","18.819442522015436","15488.24905334659"
"96","8_2","32.4892318146246","22745.69141639668"
"106","8_2","35.82884140048168","22283.85417511168"
"116","8_2","40.90979236640048","18655.132993586623"
"126","8_2","43.58222134686993","23933.2728939867"
"136","8_2","",""
"37","8_3","0.4811656254441914","1369.4032143631484"
"47","8_3","3.4078645477447083","583.2577291979251"
"57","8_3","7.3798130851524775","3465.7911748037295"
"67","8_3","10.306512007452994","6282.812496645769"
"77","8_3","12.50153619917836","10213.539922471871"
"87","8_3","17.518734351693467","11589.294521511008"
"97","8_3","24.417381811401782","18009.48265036031"
"107","8_3","31.31602927111004","13358.12186313275"
"117","8_3","34.556303077942744","18599.091764234225"
"127","8_3","39.6780261919686","20629.967600911048"
"137","8_3","42.18662526822615","23971.08591286323"
"38","8_4","0.5459468852378109","1237.2713222665043"
"48","8_4","3.368120846027608","247.62009094150562"
"58","8_4","7.444594344946125","1699.1085635515337"
"68","8_4","10.162243344225146","6251.504227646583"
"78","8_4","12.56631745897198","7439.085705236605"
"88","8_4","17.583515611487115","11661.597625556664"
"98","8_4","31.17176060788225","19842.714471176776"
"108","8_4","24.377638109684654","21030.295948766783"
"118","8_4","34.51655937622564","17731.458511016754"
"128","8_4","39.63828249025153","17137.66777222175"
"138","8_4","42.14688156650905","20370.52846121679"
"39","8_5","0.5062031835206824","1171.294573511259"
"49","8_5","3.328377144310423","181.64334218624572"
"59","8_5","7.300325681718192","3414.504031181292"
"69","8_5","10.227024604018737","10737.92314298638"
"79","8_5","12.526573757254823","9682.295162906368"
"89","8_5","17.439246948259182","13442.969841941405"
"99","8_5","24.337894407967497","19710.76097366648"
"109","8_5","31.236541867675783","18853.063239851464"
"119","8_5","34.47681567450843","17467.55151599645"
"129","8_5","39.49401382702354","20502.481958726472"
"139","8_5","42.107137864791866","21756.0401850715"
"310","16_1","0.5798712300914701","1183.8681692310784"
"410","16_1","3.4092110532638884","1808.3222487498278"
"510","16_1","7.261513816579871","10996.622922448732"
"610","16_1","10.308370044052836","18336.010502278397"
"710","16_1","12.498426683448685","19675.52699863282"
"810","16_1","17.497797356828173","14149.284773945838"
"910","16_1","21.372594481799126","15942.1299945496"
"1010","16_1","24.475770925110112","16393.7903353156"
"1110","16_1","28.27173665963452","17588.928930492533"
"1210","16_1","34.581337605126144","20823.026744974035"
"1310","16_1","39.61009211053261","20437.577686767196"
"14","16_1","31.19652587844748","18265.264771078262"
"15","16_1","",""
"311","16_2","0.624101764095812","1347.0523280241032"
"411","16_2","3.5005072612180754","742.2315793873568"
"511","16_2","7.480293020752455","5781.255997195607"
"611","16_2","10.384001721613828","16859.32400445307"
"711","16_2","12.535424932484233","20409.300511277528"
"811","16_2","17.551494719837123","12405.411980308127"
"911","16_2","21.43281678005569","13068.681493930111"
"1011","16_2","24.553506929394615","17675.56874381812"
"1111","16_2","28.315006205850466","17551.749385513147"
"1211","16_2","31.283632847664492","14052.63927780342"
"1311","16_2","34.80814150752829","16558.127785740595"
"141","16_2","39.62007801820418","18966.141331398278"
"151","16_2","",""
"312","16_3","0.49493492926123395","1250.771653653719"
"412","16_3","3.5025077279937022","1438.248416356204"
"512","16_3","7.486027227491292","9761.93115993905"
"612","16_3","10.461566673249393","16175.129225006065"
"712","16_3","12.530246853517525","20578.79822173198"
"812","16_3","17.571509109701367","16634.99925795519"
"912","16_3","21.419081118927778","14067.551763428957"
"1012","16_3","24.53205748007869","18872.82446282376"
"1112","16_3","28.290652667440582","19256.72725742169"
"1212","16_3","31.301349747565297","18250.679823883765"
"1312","16_3","34.61829275315756","18939.4322032114"
"142","16_3","39.62207848497985","13035.131787420352"
"152","16_3","42.260194045277245","14410.10585685115"
"313","16_4","4.228836459863373","773.6848247614398"
"413","16_4","11.317491321149447","18346.246288815906"
