"","Species","X","Y"
"1","0","0","0"
"3","5_1","0.5606530288785265","1193.4087433046589"
"4","5_1","3.445541966574723","411.9178608605871"
"5","5_1","6.518575834990237","145.71279931091703"
"6","5_1","10.281474449376574","1267.4657905026834"
"7","5_1","12.476498641101934","2977.449682111219"
"8","5_1","17.493696793617048","8378.943863329623"
"9","5_1","24.517774207138217","14618.861671985189"
"10","5_1","31.35370668994007","16899.507374735298"
"11","5_1","34.55217051216846","14891.960933123879"
"12","5_1","39.569368664683566","19699.664375547276"
"13","5_1","42.3288276485669","19353.175247815954"
"31","5_2","0.5627193117656617","1265.0145767867361"
"41","5_2","3.447608249461865","156.60519770272367"
"51","5_2","6.520642117877358","631.6377887387353"
"61","5_2","10.346255709170151","631.6377887387353"
"71","5_2","12.541279900895518","3679.763581219777"
"81","5_2","17.495763076504204","8786.363934856836"
"91","5_2","24.51984049002536","14922.201569071902"
"101","5_2","31.29305799592079","14922.201569071909"
"111","5_2","34.61695177196205","15793.094652637916"
"121","5_2","39.57143494757075","18445.359952588948"
"131","5_2","42.33089393145403","22285.20673013"
"32","5_3","0.5020706177463694","1706.7767632941395"
"42","5_3","3.3869595554425587","1009.4038862852176"
"52","5_3","6.459993423858094","1020.2244280754094"
"62","5_3","10.348321992057294","1544.9102912081507"
"72","5_3","12.48063120687624","5679.682219363669"
"82","5_3","17.435114382484926","7544.569472796335"
"92","5_3","24.45919179600608","11853.79503389581"
"102","5_3","34.619018054849164","15820.29649584461"
"112","5_3","31.29512427880792","20525.465555511848"
"122","5_3","39.63621620736427","20633.450146030333"
"132","5_3","42.33296021434117","21625.627579976222"
"33","5_4","0.5668518775399605","1185.842478280625"
"43","5_4","3.4517408152361497","117.01914844960993"
"53","5_4","6.462059706745293","4154.796172255657"
"63","5_4","10.350388274944464","1581.7029708106202"
"73","5_4","12.482697489763382","4115.210123002653"
"83","5_4","17.499895642278545","6965.405669218679"
"93","5_4","24.523973055799672","17574.46686902282"
"103","5_4","31.23447558478867","19672.52747943183"
"113","5_4","34.558369360829886","18247.42970632381"
"123","5_4","42.209596543415444","20978.867104780842"
"133","5_4","39.57556751334502","26877.18844347792"
"34","5_5","40.52954323461904","20215.07869197741"
"44","5_5","38.007500058438836","15829.970640412703"
"54","5_5","32.91804361719494","16679.325392602463"
"64","5_5","29.674971871598927","15067.797627646443"
"74","5_5","22.912159799175157","14141.714048668124"
"84","5_5","15.915380405645436","6130.55732475414"
"94","5_5","8.793166060496219","3701.4783503062063"
"104","5_5","11.0029562720064","2387.302589455394"
"114","5_5","1.9436170534418977","-668.2839359007776"
"124","5_5","-0.9542861728038474","489.9877450115746"
"134","5_5","",""
