spp_class,spp_order,spp_family,spp_genus,spp_species
Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium balustinum
Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter sp.
Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans
Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia
Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya zeae
Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Pectobacterium,Pectobacterium carotovorum
Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Dickeya zeae
Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium psychrophilum
Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium xanthum
Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter urativorans
Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta
Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens
Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp.
Actinobacteria,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter aurescens
Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter citreus
Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis
Actinobacteria,Propionibacteriales,Nocardioidaceae,Pimelobacter,Pimelobacter simplex
Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus plantarum
Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella viridescens
Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sakei
Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
