"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"1",-1.13821138211383,3.12258064516129,"30","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"2",23.2520325203252,6.33548387096774,"30","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"3",46.9918699186992,7.30322580645161,"30","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"4",71.0569105691057,6.49032258064516,"30","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"5",-0.47344050777798,3.2005618854378,"20","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"6",23.5544456583945,6.11924457624473,"20","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"7",47.455387336767,6.67675979397534,"20","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"8",71.6102179907393,5.95660995785859,"20","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"9",-0.49394468242636,3.08392828811677,"10","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"10",23.0334761224814,4.53212755830557,"10","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"11",46.8739753556508,6.25099159130573,"10","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
"12",71.1565920990006,5.87910518800571,"10","Hours","Total Bacterial Abundance (x10^6 cells/mL)","anoxygenic phototrophic bacteria","seawater",1,"Sato-Takabe, Y., Hamasaki, K., & Suzuki, S. (2019). High temperature accelerates growth of aerobic anoxygenic phototrophic bacteria in seawater. MicrobiologyOpen, 8(5), 1–6. https://doi.org/10.1002/mbo3.710"
