"","Time","PopBio","Temp","Time_units","PopBio_unts","Species","Medium","Rep","Citation"
"1",424.965720463565,9.47227972101731,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"2",402.080668978338,9.23302174113676,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"3",377.706435323744,9.02991548775825,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"4",359.916344746661,9.13908262686725,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"5",352.55646235184,8.97113926720899,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"6",337.043159254816,8.8517278204807,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"7",330.372987725289,8.88815642016164,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"8",312.662992603531,8.67266998035519,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"9",305.249713238493,8.7211623399739,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"10",289.74827613485,8.55365406673962,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"11",282.459589700318,8.09712974804541,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"12",266.232843751236,7.86953999498991,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"13",257.351147705249,7.87001463472517,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"14",235.333796986038,7.11367621659393,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"15",240.514786346197,7.11339934341503,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"16",217.626768362625,6.88616557016098,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"17",210.998127809933,6.75425527707095,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"18",185.821456352921,6.80369691616017,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"19",193.24660171134,6.70710773003547,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"20",169.657006869092,6.32359882394821,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"21",162.237794507363,6.39613959681991,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"22",138.654132661806,5.98858227747966,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"23",117.983572191385,5.7732540509183,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"24",89.9353303360714,5.46212770445766,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"25",50.116023046396,4.86305325194141,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"26",19.0360198821311,4.84066607776181,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"27",4.2302266404736,4.85348135061373,4.60000000000002,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"28",325.055539441244,9.44154679815945,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"29",300.601210331325,9.56309412369639,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"30",278.414769206429,9.49213548327554,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"31",263.582277479663,9.61316861576595,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"32",254.00493757169,9.43331970941501,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"33",229.580273445225,9.43462496868696,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"34",207.506559257452,8.90674647645919,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
"35",186.158153915119,8.43894946405263,5.90000000000003,"Hours","CFU/g","P. flourescens","tryptone soya agar/broth",1,"Willocx, F., Mercier, M., Hendrickx, M., & Tobback, P. (1993). Modelling the influence of temperature and carbon dioxide upon the growth of Pseudomonas fluorescens. Food Microbiology, Vol. 10, pp. 159–173. https://doi.org/10.1006/fmic.1993.1016"
