"","Species","X","Y"
"1","0","0","0"
"3","0","601.6260162601625","17.2789250540589"
"4","0","578.8617886178861","17.475019593401505"
"5","0","554.471544715447","16.677903364399494"
"6","0","531.7073170731705","15.748562363672413"
"7","0","512.1951219512193","15.150590634826205"
"8","0","486.17886178861767","14.419497086956929"
"9","0","460.16260162601617","13.95321190145699"
"10","0","437.39837398373965","12.924567764841404"
"11","0","365.8536585365852","11.12921730262598"
"12","0","341.4634146341463","10.265898983031637"
"13","0","292.6829268292683","6.751805897849913"
"14","0","269.91869918699183","5.392151308272661"
"15","0","195.12195121951208","0.02152913515197241"
"16","0","139.83739837398372","0.015429213525582242"
"17","0","110.56910569105685","0.07840193384511807"
"18","0","89.43089430894304","0.07606961087032005"
"19","0","71.54471544715443","0.07409610681472145"
"20","0","0","0.033101045296163534"
"31","7","458.53658536585357","18.355471516387635"
"41","7","439.02439024390236","18.220914421687766"
"51","7","362.6016260162601","18.64279576593675"
"61","7","341.4634146341461","18.508059261777284"
"71","7","294.3089430894307","18.171845934487216"
"81","7","271.5447154471545","17.739020613202644"
"91","7","199.99999999999983","14.255516840882692"
"101","7","144.71544715447152","13.388789741555946"
"111","7","110.56910569105685","10.472130156841633"
"121","7","92.6829268292683","7.888275119684989"
"131","7","71.54471544715443","2.2256640510655927"
"141","7","1.6260162601626007","0.03328045475576147"
"151","7","",""
"161","7","",""
"171","7","",""
"181","7","",""
"191","7","",""
"201","7","",""
"32","20","117.07317073170731","18.019886122206167"
"42","20","99.1869918699187","18.34892307111224"
"52","20","69.91869918699183","18.51119892732028"
"62","20","73.17073170731703","18.27985042916631"
"72","20","47.15447154471542","15.198582665269157"
"82","20","43.90243902439025","13.7417778533186"
"92","20","27.642276422764212","7.086673654192982"
"102","20","16.26016260162598","2.5174735371046992"
"112","20","1.6260162601626007","0.03328045475576147"
"122","20","",""
"132","20","",""
"142","20","",""
"152","20","",""
"162","20","",""
"172","20","",""
"182","20","",""
"192","20","",""
"202","20","",""
"33","30","588.6178861788617","0.09804726967129795"
"43","30","494.3089430894308","0.05454047571834053"
"53","30","416.26016260162584","0.07902986695371794"
"63","30","325.2032520325202","0.06898293721612703"
"73","30","222.76422764227647","0.05768014126133991"
"83","30","201.6260162601625","0.055347818286541894"
"93","30","43.90243902439025","0.10414719129768812"
"103","30","27.642276422764212","0.10235309670169102"
"113","30","14.634146341463406","0.0678167757287298"
"123","30","3.2520325203252014","0.06656090951153004"
"133","30","",""
"143","30","",""
"153","30","",""
"163","30","",""
"173","30","",""
"183","30","",""
"193","30","",""
"203","30","",""
"34","37","599.9999999999998","0.0993031358884977"
"44","37","554.471544715447","0.09427967101970225"
"54","37","577.2357723577234","0.09679140345410175"
"64","37","510.5691056910568","0.05633457031434119"
"74","37","528.4552845528456","0.09140911966610332"
"84","37","479.6747967479674","0.05292579058194136"
"94","37","456.91056910569097","0.08351510344371249"
"104","37","435.77235772357693","0.08118278046891803"
"114","37","365.8536585365853","0.04036712840995449"
"124","37","344.7154471544714","0.03803480543515647"
"134","37","292.6829268292682","0.06539474802413281"
"144","37","268.2926829268293","0.029602560833968283"
"154","37","245.52845528455282","0.027090828399565225"
"164","37","175.60975609756093","0.052477266932939415"
"174","37","125.20325203252031","0.0469155736853466"
"184","37","1.6260162601626007","0.03328045475576147"
"194","37","",""
"204","37","",""
