"X"	"Time"	"PopBio"	"Temp"	"Time_units"	"PopBio_units"	"Species"	"Medium"	"Rep"	"Citation"	"ID"	"logPopBio"
"1"	1	669.879518072289	0.28327571154182	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.547790660903366
"2"	2	646.987951807229	0.283342063907805	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.547688946951603
"3"	3	622.89156626506	0.285151038938362	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.544925041738438
"4"	4	597.590361445783	0.28174611489436	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.550142063894364
"5"	5	574.698795180723	0.273116815086433	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.563651560664214
"6"	6	550.602409638554	0.257534485769164	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.589164607490972
"7"	7	526.506024096385	0.257604330364938	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.589046840699686
"8"	8	502.409638554217	0.245500261917235	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.609948040204356
"9"	9	479.518072289157	0.247305744718002	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.606765795202185
"10"	10	454.21686746988	0.250857342413131	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.600573182964555
"11"	11	431.325301204819	0.235271520866073	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.62843064009667
"12"	12	384.33734939759	0.21975554391479	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.658060159889089
"13"	13	406.024096385542	0.228388335952506	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.641326079764258
"14"	14	359.036144578313	0.221568011175135	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.654492940572404
"15"	15	310.843373493976	0.19214248297538	5	"Hours"	"OD_595"	"Chryseobacterium.balustinum"	"TSB"	1	"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080."	1	-0.716376601395683
