"","id","bet.AICc","bet.AIC","bet.BIC","bet.rsq"
"1",4,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"2",6,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"3",11,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"4",12,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"5",13,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"6",14,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"7",15,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"8",16,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"9",18,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"10",19,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"11",20,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"12",22,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"13",23,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"14",24,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"15",26,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"16",27,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"17",28,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"18",29,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"19",30,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"20",32,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"21",33,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"22",34,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"23",35,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"24",36,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"25",39,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"26",40,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"27",41,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"28",42,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"29",43,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"30",44,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"31",45,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"32",46,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"33",47,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"34",48,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"35",49,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"36",50,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"37",51,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"38",52,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"39",53,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"40",54,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"41",55,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"42",56,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"43",57,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"44",58,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"45",60,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"46",61,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"47",62,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"48",63,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"49",64,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"50",65,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"51",66,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"52",67,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"53",68,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"54",69,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"55",70,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"56",71,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"57",72,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"58",73,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"59",74,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"60",75,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"61",76,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"62",77,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"63",78,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"64",79,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"65",80,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"66",81,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"67",82,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"68",83,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"69",84,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"70",85,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"71",86,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"72",87,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"73",88,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"74",89,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"75",90,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"76",91,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"77",92,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"78",94,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"79",95,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"80",96,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"81",97,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"82",98,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"83",104,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"84",105,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"85",106,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"86",107,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"87",108,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"88",109,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"89",110,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"90",111,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"91",113,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"92",114,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"93",115,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"94",116,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"95",117,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"96",119,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"97",120,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"98",121,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"99",123,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"100",124,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"101",125,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"102",126,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"103",127,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"104",128,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"105",129,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"106",130,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"107",131,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"108",132,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"109",133,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"110",134,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"111",135,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"112",136,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"113",137,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
"114",138,"baranyi_model","baranyi_model","baranyi_model","gompertz_model"
"115",139,"gompertz_model","gompertz_model","gompertz_model","baranyi_model"
