,id,loglin,param,value
0,1,log,N0,-2.28254658996996
1,1,log,Nmax,-0.544925041738438
2,1,log,rmax,0.02364700621100626
3,1,log,tlag,0
4,1,lin,N0,0.00521739130434795
5,1,lin,Nmax,0.285151038938362
6,1,lin,rmax,0.031994532442820245
7,1,lin,tlag,0
8,2,log,N0,-1.52921892331135
9,2,log,Nmax,-0.235138780481189
10,2,log,rmax,0.028875114131204846
11,2,log,tlag,0
12,2,lin,N0,0.0295652173913047
13,2,lin,Nmax,0.5819172341540071
14,2,lin,rmax,0.048841660274263544
15,2,lin,tlag,0
16,3,log,N0,-2.28254658996997
17,3,log,Nmax,-0.284460650917039
18,3,log,rmax,0.043813824232088155
19,3,log,tlag,3.9498357643944173
20,3,lin,N0,0.0052173913043478395
21,3,lin,Nmax,0.5194447354635939
22,3,lin,rmax,0.05634315159221283
23,3,lin,tlag,15.375690490501553
24,4,log,N0,-2.28254658996996
25,4,log,Nmax,-0.248372527559192
26,4,log,rmax,0.03396790367892786
27,4,log,tlag,5.302956380622359
28,4,lin,N0,0.00521739130434795
29,4,lin,Nmax,0.564452592980618
30,4,lin,rmax,0.04256377553447008
31,4,lin,tlag,9.917053036283288
32,6,log,N0,-1.8515131416169
33,6,log,Nmax,-0.39287529259126097
34,6,log,rmax,0.01771612659784349
35,6,log,tlag,0
36,6,lin,N0,0.0140762463343111
37,6,lin,Nmax,0.40469208211143703
38,6,lin,rmax,0.0268124188892764
39,6,lin,tlag,0
40,7,log,N0,-2.27748187388918
41,7,log,Nmax,-0.5477772525770039
42,7,log,rmax,0.028587218851177317
43,7,log,tlag,0
44,7,lin,N0,0.00527859237536665
45,7,lin,Nmax,0.283284457478006
46,7,lin,rmax,0.038966460501064545
47,7,lin,tlag,4.063679646228426
48,8,log,N0,-2.45357313294487
49,8,log,Nmax,-0.767831394342609
50,8,log,rmax,0.02316819482014143
51,8,log,tlag,15.49654464115438
52,8,lin,N0,0.0035190615835777295
53,8,lin,Nmax,0.17067448680351902
54,8,lin,rmax,0.03454905761798501
55,8,lin,tlag,1.60841136339054
56,9,log,N0,-1.7546031286088601
57,9,log,Nmax,-0.8853714088778791
58,9,log,rmax,0.010661732537987115
59,9,log,tlag,1.0344168916124714
60,9,lin,N0,0.0175953079178884
61,9,lin,Nmax,0.130205278592375
62,9,lin,rmax,0.019314680769089043
63,9,lin,tlag,0
64,10,log,N0,-2.05563312427283
65,10,log,Nmax,-0.9552625791552719
66,10,log,rmax,0.016794936799957843
67,10,log,tlag,0
68,10,lin,N0,0.00879765395894438
69,10,lin,Nmax,0.11085043988269802
70,10,lin,rmax,0.0287722469191504
71,10,lin,tlag,0
72,11,log,N0,-2.28254658996999
73,11,log,Nmax,-0.6524578750417621
74,11,log,rmax,0.02581619987229694
75,11,log,tlag,0
76,11,lin,N0,0.00521739130434762
77,11,lin,Nmax,0.22260869565217398
78,11,lin,rmax,0.03672795880177153
79,11,lin,tlag,0.4149741617613259
80,12,log,N0,-2.15760785336168
81,12,log,Nmax,-0.577824256744857
82,12,log,rmax,0.022617939740225593
83,12,log,tlag,0
84,12,lin,N0,0.00695652173913031
85,12,lin,Nmax,0.264347826086957
86,12,lin,rmax,0.03264671092041993
87,12,lin,tlag,0
88,13,log,N0,-1.43744854995571
89,13,log,Nmax,-0.39983236234974195
90,13,log,rmax,0.015668951365191343
91,13,log,tlag,0
92,13,lin,N0,0.0365217391304349
93,13,lin,Nmax,0.39826086956521795
94,13,lin,rmax,0.028579822247768644
95,13,lin,tlag,0
96,14,log,N0,-2.4586378490256298
97,14,log,Nmax,-1.85657785769767
98,14,log,rmax,0.009293117940708407
99,14,log,tlag,352.72383742862854
100,14,lin,N0,0.0034782608695653697
101,14,lin,Nmax,0.0139130434782615
102,14,lin,rmax,0.02646284086951199
103,14,lin,tlag,0
104,15,log,N0,-2.45863784902566
105,15,log,Nmax,-1.43744854995571
106,15,log,rmax,0.014304611244719942
107,15,log,tlag,406.2490272140813
108,15,lin,N0,0.00347826086956515
109,15,lin,Nmax,0.0365217391304353
110,15,lin,rmax,0.012176469073638839
111,15,lin,tlag,52.45672129510968
112,16,log,N0,-2.28254658996999
113,16,log,Nmax,-0.35312766425567604
114,16,log,rmax,0.032587558869311556
115,16,log,tlag,24.124176322591044
116,16,lin,N0,0.00521739130434762
117,16,lin,Nmax,0.443478260869565
118,16,lin,rmax,0.03550305333358546
119,16,lin,tlag,3.593297118553312
120,18,log,N0,-1.9032157813991397
121,18,log,Nmax,-1.26766065739911
122,18,log,rmax,0.007337889843692109
123,18,log,tlag,0
124,18,lin,N0,0.01249637987023
125,18,lin,Nmax,0.0539932342085316
126,18,lin,rmax,0.016293355736755492
127,18,lin,tlag,0
128,19,log,N0,-2.7490854434378997
129,19,log,Nmax,-0.807891650935169
130,19,log,rmax,0.021465314658107856
131,19,log,tlag,0
132,19,lin,N0,0.0017820281353406698
133,19,lin,Nmax,0.155635386691478
134,19,lin,rmax,0.029255273471163402
135,19,lin,tlag,0
136,20,log,N0,-2.4586378490256298
137,20,log,Nmax,-1.91456980467535
138,20,log,rmax,0.012634595199609175
139,20,log,tlag,379.80844312406725
140,20,lin,N0,0.0034782608695653697
141,20,lin,Nmax,0.0121739130434788
142,20,lin,rmax,0.05754017304137396
143,20,lin,tlag,0
144,22,log,N0,-1.79404275969229
145,22,log,Nmax,-0.495442845344522
146,22,log,rmax,0.013597285524309784
147,22,log,tlag,0
148,22,lin,N0,0.0160678304485264
149,22,lin,Nmax,0.319563489373764
150,22,lin,rmax,0.021901636885279126
151,22,lin,tlag,0
152,23,log,N0,-2.09691001300804
153,23,log,Nmax,-0.473660722610156
154,23,log,rmax,0.0373982210279711
155,23,log,tlag,0
156,23,lin,N0,0.00800000000000023
157,23,lin,Nmax,0.336
158,23,lin,rmax,0.05666800701624994
159,23,lin,tlag,0
160,24,log,N0,-1.57403126772772
161,24,log,Nmax,-0.0661753960318878
162,24,log,rmax,0.3286751370784908
163,24,log,tlag,0.31430599675162113
164,24,lin,N0,0.0266666666666668
165,24,lin,Nmax,0.858666666666667
166,24,lin,rmax,0.4024494489203024
167,24,lin,tlag,0
168,25,log,N0,-1.7958800173440803
169,25,log,Nmax,-0.154075519237961
170,25,log,rmax,0.07900339032749855
171,25,log,tlag,0
172,25,lin,N0,0.016
173,25,lin,Nmax,0.701333333333334
174,25,lin,rmax,0.14597239282017102
175,25,lin,tlag,3.5550834563843408
176,26,log,N0,-1.9719712763997501
177,26,log,Nmax,-0.0998150036514635
178,26,log,rmax,0.08365751792811098
179,26,log,tlag,0
180,26,lin,N0,0.0106666666666668
181,26,lin,Nmax,0.794666666666667
182,26,lin,rmax,0.1342445367161547
183,26,lin,tlag,3.2514969469148154
184,27,log,N0,-2.27300127206373
185,27,log,Nmax,-0.761117911084862
186,27,log,rmax,0.03387269433891952
187,27,log,tlag,0
188,27,lin,N0,0.00533333333333341
189,27,lin,Nmax,0.17333333333333403
190,27,lin,rmax,0.053636185997144564
191,27,lin,tlag,0
192,28,log,N0,-2.09557474836851
193,28,log,Nmax,-0.162948376186391
194,28,log,rmax,0.09316788217534082
195,28,log,tlag,0
196,28,lin,N0,0.00802463433410305
197,28,lin,Nmax,0.6871501154734411
198,28,lin,rmax,0.12803104074408603
199,28,lin,tlag,0
200,29,log,N0,-2.267024648175
201,29,log,Nmax,-0.5231061491077
