"","Temp","Species","Medium","Rep","Citation","Time","PopBio","Time_units","PopBio_unts","n","logPopBio","ID"
"29",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",-1.4210854715202e-14,0.00521739130434795,"Hours","OD_595",29,-2.28254658996996,1
"28",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",22.8915662650602,0.00862929980792748,"Hours","OD_595",29,-2.06402444204726,1
"27",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",46.9879518072289,0.0189942378208487,"Hours","OD_595",29,-1.72137812863417,1
"26",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",71.0843373493976,0.0328374367033352,"Hours","OD_595",29,-1.48363075134082,1
"25",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",95.1807228915663,0.044941505151039,"Hours","OD_595",29,-1.347352386571,1
"24",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",119.277108433735,0.0622629649030908,"Hours","OD_595",29,-1.20577020247147,1
"23",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",142.168674698795,0.0848053081892789,"Hours","OD_595",29,-1.07157696324844,1
"22",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",166.265060240964,0.103865898376113,"Hours","OD_595",29,-0.983527018160554,1
"21",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",190.361445783133,0.119448227693382,"Hours","OD_595",29,-0.922820289687185,1
"19",5,"Chryseobacterium.balustinum","TSB",1,"Bae, Y.M., Zheng, L., Hyun, J.E., Jung, K.S., Heu, S. and Lee, S.Y., 2014. Growth characteristics and biofilm formation of various spoilage bacteria isolated from fresh produce. Journal of food science, 79(10), pp.M2072-M2080.",215.66265060241,0.140244456085211,"Hours","OD_595",29,-0.853114297552648,1
