"","N0","Nmax","tlag","rmax","AIC","AICc","BIC","rsq","id","model","temp_c","species","medium","temp_k"
"1",NA,NA,NA,NA,NA,NA,NA,NA,1,"gompertz_model",5,"Chryseobacterium.balustinum","TSB",278
"2",NA,NA,NA,NA,NA,NA,NA,NA,2,"gompertz_model",5,"Enterobacter.sp.","TSB",278
"3",NA,NA,NA,NA,NA,NA,NA,NA,3,"gompertz_model",5,"Pantoea.agglomerans.1","TSB",278
"4",NA,NA,NA,NA,NA,NA,NA,NA,4,"gompertz_model",5,"Pantoea.agglomerans.2","TSB",278
"5",NA,NA,NA,NA,NA,NA,NA,NA,6,"gompertz_model",5,"Clavibacter.michiganensis","TSB",278
"6",-8.92785675762387,-1.8955484770257,56.7440767111309,0.0349696922090955,-48.0177187084657,-46.351052041799,-41.1812395585333,-0.109006515998697,7,"gompertz_model",5,"Pseudomonas.fluorescens.1","TSB",278
"7",NA,NA,NA,NA,NA,NA,NA,NA,8,"gompertz_model",5,"Pseudomonas.fluorescens.2","TSB",278
"8",-3.65787272848572,-2.59271900077658,174.566508511092,0.00293029990811411,-68.6346226691246,-66.9679560024579,-61.7981435191922,-2.4571862652748,9,"gompertz_model",5,"Acinetobacter.clacoaceticus.1","TSB",278
"9",NA,NA,NA,NA,NA,NA,NA,NA,10,"gompertz_model",5,"Acinetobacter.clacoaceticus.2","TSB",278
"10",-1.99175684242589,-2.21801048214902,33.69048037797,0.0260313303821623,-71.9430805675623,-70.2764139008957,-65.10660141763,0.325524158427687,11,"gompertz_model",5,"Stenotrophomonas.maltophilia.1","TSB",278
"11",NA,NA,NA,NA,NA,NA,NA,NA,12,"gompertz_model",5,"Stenotrophomonas.maltophilia.2","TSB",278
"12",-3.74905954953015,-1.5339577634008,57.9922899075297,0.0298951453620039,-101.238141417868,-99.5714747512014,-94.4016622679356,0.89792111705835,13,"gompertz_model",5,"Klebsiella.pneumonia","TSB",278
"13",NA,NA,NA,NA,NA,NA,NA,NA,14,"gompertz_model",5,"Dickeya.zeae","TSB",278
"14",NA,NA,NA,NA,NA,NA,NA,NA,15,"gompertz_model",5,"Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",278
"15",-4.48479072168722,-1.52594979770358,77.9201561871101,0.0292201006088532,-53.3793570837947,-51.7126904171281,-46.5428779338624,0.71190505688345,16,"gompertz_model",5,"Pantoea.agglomerans..RDA.R.","TSB",278
"16",-7.23922556683662,-1.86049647257453,51.7035524173978,0.00254183114283605,-53.496833641433,-51.8301669747664,-46.6603544915007,-64.4210562353102,18,"gompertz_model",5,"Acinetobacter.clacoaceticus..RDA.R.","TSB",278
"17",NA,NA,NA,NA,NA,NA,NA,NA,19,"gompertz_model",5,"Stenotrophomonas.maltophilia..RDA.R.","TSB",278
"18",NA,NA,NA,NA,NA,NA,NA,NA,20,"gompertz_model",5,"Klebsiella.pneumonia..RDA.R.","TSB",278
"19",NA,NA,NA,NA,NA,NA,NA,NA,22,"gompertz_model",5,"Clavibacter.michiganensis..RDA.R.","TSB",278
"20",-4.07784963776845,-1.44492238116013,4.24714498307908,0.062668106049363,-9.6236103662928,-7.27066918982221,-4.16839809950122,-1.38453171852295,23,"gompertz_model",15,"Chryseobacterium.balustinum","TSB",288
"21",NA,NA,NA,NA,NA,NA,NA,NA,24,"gompertz_model",15,"Enterobacter.sp.","TSB",288
"22",NA,NA,NA,NA,NA,NA,NA,NA,25,"gompertz_model",15,"Pantoea.agglomerans.1","TSB",288
"23",NA,NA,NA,NA,NA,NA,NA,NA,26,"gompertz_model",15,"Pantoea.agglomerans.2","TSB",288
"24",-9.31615811712,-2.20410836096968,28.5564511480976,0.0391285017776079,11.4195619953106,13.7725031717812,16.8747742621022,-23.8732400516754,27,"gompertz_model",15,"Bacillus.pumilus","TSB",288
"25",NA,NA,NA,NA,NA,NA,NA,NA,28,"gompertz_model",15,"Clavibacter.michiganensis","TSB",288
"26",-8.07106236532977,-1.99464340440625,1.09282636683753,0.0232986227848495,5.6838010936111,7.90602331583332,11.3612721732568,-5.73496376542328,29,"gompertz_model",15,"Pseudomonas.fluorescens.1","TSB",288
"27",-1.61191890605567,-0.365245235956391,13.9832684490614,0.0841184197193102,-29.224584579533,-27.0023623573108,-23.5471134998872,-0.473347950788041,30,"gompertz_model",15,"Pseudomonas.fluorescens.2","TSB",288
"28",NA,NA,NA,NA,NA,NA,NA,NA,31,"gompertz_model",15,"Acinetobacter.clacoaceticus.1","TSB",288
"29",NA,NA,NA,NA,NA,NA,NA,NA,32,"gompertz_model",15,"Acinetobacter.clacoaceticus.2","TSB",288
"30",NA,NA,NA,NA,NA,NA,NA,NA,33,"gompertz_model",15,"Stenotrophomonas.maltophilia.1","TSB",288
"31",NA,NA,NA,NA,NA,NA,NA,NA,34,"gompertz_model",15,"Stenotrophomonas.maltophilia.2","TSB",288
"32",NA,NA,NA,NA,NA,NA,NA,NA,35,"gompertz_model",15,"Klebsiella.pneumonia","TSB",288
"33",NA,NA,NA,NA,NA,NA,NA,NA,36,"gompertz_model",15,"Dickeya.zeae","TSB",288
"34",NA,NA,NA,NA,NA,NA,NA,NA,37,"gompertz_model",15,"Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2","TSB",288
"35",NA,NA,NA,NA,NA,NA,NA,NA,38,"gompertz_model",15,"Pantoea.agglomerans..RDA.R.","TSB",288
"36",NA,NA,NA,NA,NA,NA,NA,NA,39,"gompertz_model",15,"Dickeya.zeae..RDA.R.","TSB",288
"37",NA,NA,NA,NA,NA,NA,NA,NA,40,"gompertz_model",15,"Acinetobacter.clacoaceticus..RDA.R.","TSB",288
"38",-6.0441727042742,-2.07792280364027,33.6379323296643,0.05202284382631,-22.5637987424108,-20.3415765201886,-16.886327662765,-1.58791993272988,41,"gompertz_model",15,"Stenotrophomonas.maltophilia..RDA.R.","TSB",288
"39",-5.88537026721103,-0.289125682322192,2.68215993268716,0.384833536734978,5.09028308538088,6.62874462384242,12.2602191078066,0.361282073496893,42,"gompertz_model",15,"Klebsiella.pneumonia..RDA.R.","TSB",288
"40",NA,NA,NA,NA,NA,NA,NA,NA,43,"gompertz_model",15,"Bacillus.pumilus..RDA.R.","TSB",288
"41",NA,NA,NA,NA,NA,NA,NA,NA,44,"gompertz_model",15,"Clavibacter.michiganensis..RDA.R.","TSB",288
"42",NA,NA,NA,NA,NA,NA,NA,NA,45,"gompertz_model",25,"Chryseobacterium.balustinum","TSB",298
"43",NA,NA,NA,NA,NA,NA,NA,NA,46,"gompertz_model",25,"Enterobacter.sp.","TSB",298
"44",NA,NA,NA,NA,NA,NA,NA,NA,47,"gompertz_model",25,"Pantoea.agglomerans.1","TSB",298
"45",NA,NA,NA,NA,NA,NA,NA,NA,48,"gompertz_model",25,"Pantoea.agglomerans.2","TSB",298
"46",NA,NA,NA,NA,NA,NA,NA,NA,49,"gompertz_model",25,"Bacillus.pumilus","TSB",298
"47",NA,NA,NA,NA,NA,NA,NA,NA,50,"gompertz_model",25,"Clavibacter.michiganensis","TSB",298
"48",NA,NA,NA,NA,NA,NA,NA,NA,51,"gompertz_model",25,"Pseudomonas.fluorescens.1","TSB",298
"49",NA,NA,NA,NA,NA,NA,NA,NA,52,"gompertz_model",25,"Pseudomonas.fluorescens.2","TSB",298
"50",NA,NA,NA,NA,NA,NA,NA,NA,53,"gompertz_model",25,"Acinetobacter.clacoaceticus.1","TSB",298
"51",NA,NA,NA,NA,NA,NA,NA,NA,54,"gompertz_model",25,"Acinetobacter.clacoaceticus.2","TSB",298
"52",NA,NA,NA,NA,NA,NA,NA,NA,55,"gompertz_model",25,"Stenotrophomonas.maltophilia.1","TSB",298
"53",NA,NA,NA,NA,NA,NA,NA,NA,56,"gompertz_model",25,"Stenotrophomonas.maltophilia.2","TSB",298
